#YY,MM,DD,WDIR,WSPD,GST,ATMP
2014,1,1,113.29411764705883,4.14352941176471,4.822352941176465,-7.041176470588234
2014,1,2,69.51219512195122,2.4524390243902463,3.840243902439024,-6.8475609756097535
2014,1,3,253.29268292682926,5.176829268292679,5.548780487804876,-12.076829268292682
2014,1,4,194.5977011494253,5.3873563218390785,4.1149425287356305,-4.341379310344827
2014,1,5,316.6265060240964,5.042168674698797,4.37469879518073,-4.050602409638555
2014,1,6,280.0,3.6621951219512194,6.9756097560975565,-21.53170731707317
2014,1,7,249.51807228915663,4.326506024096385,4.390361445783135,-21.09036144578313
2014,1,8,248.8235294117647,4.881176470588245,5.417647058823538,-12.180000000000001
2014,1,9,197.5609756097561,4.673170731707319,4.847560975609756,-9.136585365853659
2014,1,10,172.5,7.303409090909088,7.962499999999994,-1.1613636363636366
2014,1,11,234.26966292134833,5.660674157303373,3.77752808988764,2.993258426966292
2014,1,12,222.24719101123594,5.658426966292131,4.51573033707865,0.3348314606741575
2014,1,13,215.65217391304347,5.5706521739130475,5.140217391304348,5.932608695652173
2014,1,14,230.21978021978023,5.840659340659334,5.567032967032964,-0.15164835164835178
2014,1,15,273.69565217391306,5.458695652173913,5.008695652173918,-6.608695652173914
2014,1,16,198.57142857142858,4.6726190476190474,5.171428571428567,-4.111904761904763
2014,1,17,268.55555555555554,6.592222222222221,5.83666666666667,-7.937777777777775
2014,1,18,204.66666666666666,7.562222222222224,4.885555555555559,-8.841111111111111
2014,1,19,225.47619047619048,4.574999999999999,5.466666666666664,-5.213095238095238
2014,1,20,274.4943820224719,5.450561797752815,4.7449438202247265,0.2674157303370785
2014,1,21,245.28735632183907,4.131034482758625,4.696551724137927,-9.599999999999998
2014,1,22,247.95454545454547,5.518181818181817,4.838636363636362,-13.355681818181813
2014,1,23,296.51162790697674,3.32325581395349,4.009302325581394,-15.156976744186046
2014,1,24,228.6206896551724,6.494252873563219,3.6632183908045963,-13.765517241379303
2014,1,25,265.97701149425285,4.736781609195399,5.1551724137931,-4.985057471264367
2014,1,26,232.5,4.033333333333333,5.5535714285714235,-8.944047619047618
2014,1,27,281.0975609756098,2.9280487804878117,4.864634146341455,-14.9109756097561
2014,1,28,261.56626506024094,6.571084337349392,4.806024096385542,-19.662650602409634
2014,1,29,242.89473684210526,7.451315789473685,2.490789473684213,-12.046052631578945
2014,1,30,193.875,6.42,4.727500000000001,-3.98125
2014,1,31,240.12048192771084,4.697590361445785,4.7578313253012094,-4.037349397590362
2014,2,1,157.6829268292683,4.759756097560973,4.685365853658534,-3.062195121951219
2014,2,2,324.3529411764706,5.923529411764708,6.33764705882353,-6.527058823529411
2014,2,3,279.87951807228916,3.2987951807228897,4.145783132530123,-9.137349397590363
2014,2,4,175.125,3.5987499999999963,4.415,-7.121250000000001
2014,2,5,129.08045977011494,4.4862068965517246,5.367816091954022,-5.1770114942528735
2014,2,6,274.06976744186045,6.388372093023252,5.59767441860465,-12.497674418604648
2014,2,7,250.80459770114942,5.46436781609195,5.783908045977011,-14.91149425287356
2014,2,8,201.70731707317074,5.531707317073178,5.435365853658534,-11.250000000000002
2014,2,9,269.875,5.779999999999996,6.503749999999995,-9.041250000000002
2014,2,10,296.91358024691357,6.456790123456793,6.270370370370367,-12.827160493827154
2014,2,11,256.9047619047619,5.370238095238098,6.554761904761906,-12.992857142857144
2014,2,12,184.32432432432432,5.840540540540538,6.959459459459455,-8.797297297297296
2014,2,13,183.20987654320987,6.259259259259257,5.701234567901232,-5.023456790123454
2014,2,14,283.972602739726,6.295890410958908,5.824657534246579,-6.5835616438356155
2014,2,15,268.67469879518075,6.062650602409644,5.977108433734945,-7.849397590361446
2014,2,16,273.3720930232558,6.983720930232553,5.99418604651163,-6.769767441860468
2014,2,17,124.58823529411765,4.882352941176469,5.788235294117646,-5.028235294117648
2014,2,18,234.28571428571428,4.82727272727272,4.938961038961039,-0.23116883116883113
2014,2,19,241.9318181818182,5.938636363636362,6.704545454545454,4.294318181818179
2014,2,20,127.05882352941177,5.409411764705882,5.058823529411762,1.5564705882352945
2014,2,21,231.11111111111111,5.550617283950612,4.06172839506173,1.1765432098765432
2014,2,22,252.6829268292683,3.7926829268292654,4.70975609756098,-1.3182926829268293
2014,2,23,284.5882352941176,6.927058823529404,6.423529411764698,-4.851764705882352
2014,2,24,277.012987012987,6.590909090909093,3.3194805194805217,-7.453246753246759
2014,2,25,284.5348837209302,6.102325581395339,6.845348837209296,-7.505813953488373
2014,2,26,267.8481012658228,4.368354430379743,4.851898734177217,-13.31772151898734
2014,2,27,289.7647058823529,4.189411764705888,6.217647058823528,-11.794117647058826
2014,2,28,199.62025316455697,5.0645569620253195,4.006329113924049,-10.469620253164555
2014,3,1,298.11764705882354,6.5411764705882325,4.705882352941181,-4.624705882352941
2014,3,2,338.0952380952381,7.3833333333333435,3.452380952380959,-11.927380952380945
2014,3,3,236.54761904761904,6.209523809523815,5.751190476190484,-13.273809523809524
2014,3,4,183.92857142857142,4.3047619047619055,5.266666666666664,-8.983333333333329
2014,3,5,77.3170731707317,6.126829268292677,6.818292682926832,-6.557317073170732
2014,3,6,81.3953488372093,5.383720930232565,5.57558139534884,-7.402325581395349
2014,3,7,175.0,6.252380952380948,6.857142857142849,-1.8404761904761922
2014,3,8,266.7415730337079,4.250561797752815,4.4348314606741575,-0.4123595505617981
2014,3,9,229.6341463414634,4.118292682926829,4.38414634146341,-2.152439024390243
2014,3,10,235.9090909090909,4.64318181818182,5.838636363636359,7.663636363636363
2014,3,11,222.88888888888889,4.859999999999998,4.562222222222221,6.107777777777779
2014,3,12,231.72413793103448,5.363218390804598,4.993103448275864,-2.2183908045977003
2014,3,13,256.219512195122,4.648780487804875,4.864634146341459,-4.723170731707315
2014,3,14,217.21518987341773,4.094936708860759,6.094936708860763,5.889873417721519
2014,3,15,228.14814814814815,6.886419753086418,6.375308641975308,1.6592592592592594
2014,3,16,33.88235294117647,3.394117647058829,5.225882352941167,-5.295294117647058
2014,3,17,93.70370370370371,6.462962962962962,7.1246913580246956,-4.982716049382716
2014,3,18,142.289156626506,7.028915662650597,7.4698795180722835,0.9469879518072288
2014,3,19,203.48314606741573,6.308988764044938,6.249438202247185,4.844943820224719
2014,3,20,220.50632911392404,4.672151898734181,5.194936708860763,1.4949367088607597
2014,3,21,127.38095238095238,5.5607142857142815,6.154761904761902,1.904761904761905
2014,3,22,258.69565217391306,5.367391304347828,5.796739130434786,4.292391304347826
2014,3,23,196.27906976744185,4.320930232558147,5.104651162790701,-4.098837209302325
2014,3,24,191.3095238095238,3.8440476190476174,4.953571428571429,-4.26547619047619
2014,3,25,285.679012345679,7.207407407407407,3.561728395061733,-2.9111111111111114
2014,3,26,250.6818181818182,5.739772727272725,5.928409090909084,-3.4681818181818183
2014,3,27,181.1578947368421,3.4905263157894733,5.451578947368419,3.586315789473684
2014,3,28,206.45833333333334,5.203125000000006,4.6687500000000055,5.260416666666667
2014,3,29,147.70833333333334,6.127083333333327,4.646875000000001,0.22812499999999988
2014,3,30,221.97916666666666,4.783333333333336,5.190625,2.009375
2014,3,31,170.8421052631579,5.526315789473683,4.738947368421052,9.20736842105263
2014,4,1,220.72916666666666,3.1395833333333365,5.313541666666665,6.898958333333333
2014,4,2,160.625,6.908333333333324,6.321874999999991,3.191666666666667
2014,4,3,93.4375,6.262499999999992,5.140624999999999,1.9937500000000006
2014,4,4,176.97916666666666,5.961458333333322,6.7083333333333295,3.648958333333336
2014,4,5,239.27083333333334,4.945833333333334,5.840625000000003,2.178125
2014,4,6,151.97916666666666,6.145833333333333,6.853125000000001,5.303125
2014,4,7,203.95833333333334,4.183333333333328,4.882291666666663,3.9874999999999994
2014,4,8,245.0,3.9968750000000033,4.531250000000003,6.732291666666664
2014,4,9,208.85416666666666,3.4729166666666647,3.4072916666666644,6.918749999999998
2014,4,10,202.60416666666666,4.598958333333336,5.231249999999999,13.15416666666667
2014,4,11,221.14583333333334,3.8364583333333315,4.3354166666666645,10.511458333333332
2014,4,12,198.125,5.877083333333331,5.552083333333336,25.815624999999997
2014,4,13,165.20833333333334,3.5437500000000046,4.719791666666673,13.728124999999997
2014,4,14,275.625,3.311458333333338,4.443749999999992,6.985416666666668
2014,4,15,253.33333333333334,5.750000000000003,4.052083333333333,-1.6239583333333334
2014,4,16,163.95833333333334,5.634375000000001,4.099999999999993,3.1218750000000006
2014,4,17,188.54166666666666,4.787500000000002,4.317708333333334,8.946875
2014,4,18,194.47916666666666,6.0666666666666655,6.6427083333333385,5.577083333333335
2014,4,19,67.29166666666667,5.2791666666666694,6.003125000000008,3.9999999999999982
2014,4,20,148.125,6.727083333333326,6.771874999999991,10.976041666666667
2014,4,21,200.3125,6.595833333333328,6.5406249999999995,17.318749999999998
2014,4,22,221.875,5.01145833333334,5.159375000000003,60.32708333333332
2014,4,23,131.77083333333334,5.908333333333339,5.0062500000000005,3.2083333333333326
2014,4,24,124.47916666666667,5.642708333333332,4.996874999999998,6.769791666666667
2014,4,25,222.39583333333334,5.114583333333335,6.07395833333333,10.721874999999995
2014,4,26,110.41666666666667,6.799999999999993,5.246875000000004,8.711458333333338
2014,4,27,64.47916666666667,5.872916666666669,3.1197916666666714,5.616666666666666
2014,4,28,87.70833333333333,6.862499999999994,6.678124999999991,7.670833333333334
2014,4,29,158.85416666666666,4.571875000000001,4.838541666666667,9.141666666666664
2014,4,30,198.21052631578948,6.18105263157894,5.96526315789473,10.52
2014,5,1,221.25,6.134375000000005,4.171874999999997,7.677083333333332
2014,5,2,248.75,7.356250000000009,5.871874999999997,8.959375000000001
2014,5,3,248.64583333333334,5.013541666666671,4.068749999999999,12.394791666666663
2014,5,4,217.29166666666666,6.654166666666672,6.216666666666678,11.104166666666666
2014,5,5,77.70833333333333,4.482291666666671,4.329166666666663,6.347916666666669
2014,5,6,99.26315789473684,6.955789473684197,6.089473684210516,6.638947368421052
2014,5,7,114.0625,6.273958333333333,5.318750000000002,10.43854166666667
2014,5,8,188.64583333333334,5.296874999999998,5.146874999999999,19.365625
2014,5,9,204.47916666666666,4.145833333333337,5.166666666666664,20.3
2014,5,10,197.29166666666666,4.063541666666665,4.497916666666666,15.75625
2014,5,11,145.625,5.515624999999996,6.236458333333328,17.021874999999998
2014,5,12,169.89583333333334,6.192708333333337,5.756249999999997,19.63437500000001
2014,5,13,226.5625,6.506250000000005,5.095833333333338,17.45416666666667
2014,5,14,277.2631578947368,6.64210526315789,7.087368421052622,10.306315789473684
