#YY,MM,DD,WDIR,WSP,GST,ATMP
2013,4,1,275.4166666666667,6.00104166666667,10.117708333333333,1.6156249999999999
2013,4,2,247.5,6.590625000000009,8.002083333333355,0.21250000000000002
2013,4,3,180.31578947368422,4.357894736842109,5.025263157894738,0.7442105263157897
2013,4,4,166.875,4.700000000000002,5.73020833333333,4.109375000000001
2013,4,5,165.83333333333334,6.575000000000006,8.472916666666682,4.846874999999999
2013,4,6,128.95833333333334,5.335416666666661,10.803124999999994,6.6166666666666645
2013,4,7,189.375,5.236458333333332,11.63333333333334,9.278124999999998
2013,4,8,137.5,6.111458333333331,11.462499999999997,7.810416666666666
2013,4,9,168.54166666666666,5.188541666666666,6.924999999999994,3.6416666666666644
2013,4,10,247.91666666666666,5.532291666666669,11.338541666666655,3.391666666666668
2013,4,11,74.47916666666667,6.301041666666673,8.778125000000012,4.054166666666666
2013,4,12,216.53061224489795,4.426530612244901,9.304081632653059,5.575510204081632
2013,4,13,264.2708333333333,6.309375000000003,11.805208333333317,3.5281250000000006
2013,4,14,119.57894736842105,5.791578947368414,8.268421052631567,5.149473684210528
2013,4,15,198.02083333333334,4.391666666666668,14.04479166666667,13.73229166666667
2013,4,16,218.22916666666666,5.03229166666667,5.820833333333337,5.895833333333333
2013,4,17,86.84210526315789,5.2136842105263135,8.8978947368421,4.678947368421052
2013,4,18,158.73684210526315,4.452631578947366,9.429473684210523,10.66842105263158
2013,4,19,243.3684210526316,3.098947368421056,17.574736842105263,4.874736842105263
2013,4,20,251.66666666666666,6.3750000000000036,9.907291666666675,1.504166666666667
2013,4,21,117.29166666666667,7.468750000000006,8.481250000000001,3.5208333333333326
2013,4,22,127.33333333333333,8.125,9.210000000000003,9.221666666666664
2013,4,23,191.5625,5.866666666666659,7.581249999999993,10.215624999999998
2013,4,24,251.54929577464787,5.669014084507044,8.876056338028176,3.532394366197183
2013,4,25,248.85416666666666,6.364583333333342,10.805208333333326,7.178124999999998
2013,4,26,192.60416666666666,4.91145833333333,9.270833333333329,10.316666666666665
2013,4,27,150.74468085106383,5.4734042553191475,6.873404255319161,11.727659574468086
2013,4,28,131.5625,3.129166666666667,3.8322916666666687,8.040625000000004
2013,4,29,187.68421052631578,5.777894736842104,7.082105263157889,12.957894736842103
2013,4,30,183.5483870967742,3.0849462365591416,13.361290322580642,18.292473118279567
2013,5,1,156.97916666666666,5.811458333333326,9.444791666666669,20.97604166666667
2013,5,2,294.25531914893617,3.075531914893621,10.88297872340424,7.734042553191488
2013,5,3,322.94117647058823,7.776470588235288,9.678431372549026,4.794117647058824
2013,5,4,242.10526315789474,4.7031578947368455,5.496842105263167,8.792631578947368
2013,5,5,319.2631578947368,5.767368421052631,6.558947368421051,8.488421052631578
2013,5,6,342.10526315789474,5.946315789473681,6.726315789473684,8.576842105263156
2013,5,7,329.5698924731183,4.245161290322584,4.761290322580648,9.51290322580645
2013,5,8,179.58333333333334,1.8124999999999984,2.3302083333333306,11.121875000000001
2013,5,9,138.73684210526315,2.9315789473684197,4.043157894736839,14.565263157894737
2013,5,10,321.7708333333333,5.254166666666659,12.485416666666675,6.770833333333336
2013,5,11,251.77083333333334,5.188541666666664,8.477083333333333,8.234375000000005
2013,5,12,238.54166666666666,6.547916666666676,9.33854166666668,6.4114583333333295
2013,5,13,105.53191489361703,5.685106382978723,6.569148936170216,6.534042553191492
2013,5,14,159.58333333333334,5.168750000000003,8.797916666666667,15.010416666666664
2013,5,15,187.68421052631578,4.876842105263165,8.829473684210537,20.323157894736838
2013,5,16,178.125,2.4374999999999973,3.009374999999997,16.62291666666667
2013,5,17,239.47368421052633,3.612631578947368,4.4178947368421015,11.34105263157895
2013,5,18,130.72916666666666,3.6895833333333314,4.365625,13.223958333333336
2013,5,19,130.73684210526315,2.8031578947368403,3.6199999999999997,15.946315789473688
2013,5,20,172.64705882352942,4.055882352941181,10.855882352941173,22.86470588235294
2013,5,21,203.768115942029,4.215942028985512,12.491304347826077,22.86521739130434
2013,5,22,193.4090909090909,5.26590909090909,6.532954545454544,19.432954545454546
2013,5,23,348.75,6.554166666666661,15.011458333333339,8.558333333333335
2013,5,24,153.89473684210526,4.317894736842104,10.253684210526323,6.297894736842105
2013,5,25,176.77083333333334,2.8552083333333305,3.4468750000000004,7.895833333333335
2013,5,26,174.79166666666666,3.437499999999998,4.044791666666664,10.132291666666667
2013,5,27,94.6875,6.578124999999999,7.493750000000003,11.449999999999998
2013,5,28,167.78947368421052,5.373684210526316,9.903157894736832,17.353684210526314
2013,5,29,183.26315789473685,5.267368421052637,7.775789473684224,18.702105263157897
2013,5,30,185.85106382978722,5.423404255319147,13.181914893617018,22.843617021276597
2013,5,31,191.26315789473685,4.80947368421053,11.08526315789472,20.38842105263158
2013,6,1,198.73684210526315,5.604210526315792,11.628421052631568,20.131578947368418
2013,6,2,138.64583333333334,6.548958333333341,8.248958333333345,43.958333333333314
2013,6,3,177.1578947368421,2.7399999999999984,3.1684210526315777,10.638947368421057
2013,6,4,106.45833333333333,3.4708333333333297,3.947916666666662,13.552083333333336
2013,6,5,136.35416666666666,5.4770833333333355,6.6718749999999964,13.534374999999995
2013,6,6,129.3684210526316,5.572631578947363,6.6589473684210505,12.696842105263158
2013,6,7,311.06382978723406,6.740425531914894,7.67127659574468,11.546808510638295
2013,6,8,199.1578947368421,2.94315789473684,3.3568421052631554,14.463157894736845
2013,6,9,166.41304347826087,4.5804347826086955,5.110869565217392,16.083695652173912
2013,6,10,223.40425531914894,4.347872340425538,5.008510638297879,16.841489361702127
2013,6,11,168.80434782608697,3.8086956521739115,4.416304347826084,17.827173913043477
2013,6,12,163.51351351351352,4.010810810810812,5.410810810810811,18.718918918918916
2013,6,13,296.42105263157896,4.413684210526318,11.198947368421049,15.045263157894741
2013,6,14,259.8958333333333,5.982291666666675,7.840625000000016,13.051041666666663
2013,6,15,161.3978494623656,3.770967741935481,4.363440860215052,16.527956989247308
2013,6,16,223.22222222222223,5.036666666666667,8.644444444444456,22.850000000000005
2013,6,17,210.77777777777777,3.4855555555555515,4.4644444444444416,25.14444444444445
2013,6,18,345.8241758241758,6.629670329670323,10.099999999999987,13.746153846153842
2013,6,19,111.48936170212765,4.518085106382984,5.400000000000006,14.898936170212771
2013,6,20,100.96774193548387,4.121505376344082,4.659139784946235,17.934408602150537
2013,6,21,169.78494623655914,6.497849462365593,10.218279569892472,95.43978494623657
2013,6,22,183.82978723404256,5.205319148936173,7.250000000000007,21.357446808510637
2013,6,23,187.57894736842104,6.09894736842105,8.121052631578943,23.37368421052631
2013,6,24,194.48275862068965,6.642528735632182,9.387356321839079,23.21494252873564
2013,6,25,185.71428571428572,4.482417582417582,6.891208791208795,21.71098901098901
