#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010,1,3,21,0,320,9.3,10.8,99,99,99,999,9999,-7,999,999,99,99
2010,1,3,22,0,330,10.8,12.9,99,99,99,999,9999,-6.9,999,999,99,99
2010,1,3,23,0,320,10.3,11.8,99,99,99,999,9999,-6.8,999,999,99,99
2010,1,4,0,0,320,8.8,10.8,99,99,99,999,9999,-7.6,999,999,99,99
2010,1,4,1,0,310,9.3,10.8,99,99,99,999,9999,-9,999,999,99,99
2010,1,4,2,0,300,9.3,11.3,99,99,99,999,9999,-9.8,999,999,99,99
2010,1,4,3,0,300,8.2,9.8,99,99,99,999,9999,-9.7,999,999,99,99
2010,1,4,4,0,300,8.8,10.3,99,99,99,999,9999,-9.7,999,999,99,99
2010,1,4,5,0,290,8.8,10.3,99,99,99,999,9999,-10,999,999,99,99
2010,1,4,6,0,300,8.8,10.8,99,99,99,999,9999,-10.3,999,999,99,99
2010,1,4,7,0,290,8.2,10.3,99,99,99,999,9999,-10.5,999,999,99,99
2010,1,4,8,0,290,8.8,10.8,99,99,99,999,9999,-11.1,999,999,99,99
2010,1,4,9,0,290,7.7,9.8,99,99,99,999,9999,-11,999,999,99,99
2010,1,4,10,0,300,8.2,10.3,99,99,99,999,9999,-11.4,999,999,99,99
2010,1,4,11,0,300,7.7,9.3,99,99,99,999,9999,-11.1,999,999,99,99
2010,1,4,12,0,300,7.7,9.3,99,99,99,999,9999,-10.9,999,999,99,99
2010,1,4,13,0,290,8.2,9.8,99,99,99,999,9999,-11,999,999,99,99
2010,1,4,14,0,300,8.8,10.8,99,99,99,999,9999,-11,999,999,99,99
2010,1,4,15,0,300,9.8,11.3,99,99,99,999,9999,-10.8,999,999,99,99
2010,1,4,16,0,300,7.7,9.8,99,99,99,999,9999,-10,999,999,99,99
2010,1,4,17,0,310,7.7,9.8,99,99,99,999,9999,-9.5,999,999,99,99
2010,1,4,18,0,300,6.7,8.8,99,99,99,999,9999,-8.8,999,999,99,99
2010,1,4,19,0,310,6.7,8.2,99,99,99,999,9999,-8.3,999,999,99,99
2010,1,5,0,0,300,9.3,10.8,99,99,99,999,9999,-7.7,999,999,99,99
2010,1,5,1,0,310,9.8,11.8,99,99,99,999,9999,-7.8,999,999,99,99
2010,1,5,2,0,300,9.3,10.8,99,99,99,999,9999,-7.8,999,999,99,99
2010,1,5,3,0,310,8.2,9.8,99,99,99,999,9999,-7.3,999,999,99,99
2010,1,5,4,0,300,8.2,9.8,99,99,99,999,9999,-7.1,999,999,99,99
2010,1,5,5,0,310,8.8,10.3,99,99,99,999,9999,-7.1,999,999,99,99
2010,1,5,6,0,300,7.7,9.8,99,99,99,999,9999,-7,999,999,99,99
2010,1,5,7,0,300,8.8,9.8,99,99,99,999,9999,-7.4,999,999,99,99
2010,1,5,8,0,300,8.2,9.8,99,99,99,999,9999,-7.4,999,999,99,99
2010,1,5,9,0,300,8.2,9.3,99,99,99,999,9999,-7.4,999,999,99,99
2010,1,5,10,0,300,7.7,9.3,99,99,99,999,9999,-7.4,999,999,99,99
2010,1,5,11,0,300,8.8,10.3,99,99,99,999,9999,-7.4,999,999,99,99
2010,1,5,12,0,290,6.7,8.2,99,99,99,999,9999,-7.9,999,999,99,99
2010,1,5,13,0,280,7.2,8.8,99,99,99,999,9999,-7.9,999,999,99,99
2010,1,5,14,0,290,6.7,7.7,99,99,99,999,9999,-7.9,999,999,99,99
2010,1,5,15,0,290,8.2,9.8,99,99,99,999,9999,-8.2,999,999,99,99
2010,1,5,16,0,300,8.2,9.8,99,99,99,999,9999,-7.8,999,999,99,99
2010,1,5,17,0,290,8.2,9.3,99,99,99,999,9999,-7.3,999,999,99,99
2010,1,5,18,0,280,7.7,8.8,99,99,99,999,9999,-6.5,999,999,99,99
2010,1,5,19,0,290,7.2,8.2,99,99,99,999,9999,-5.6,999,999,99,99
2010,1,5,20,0,290,8.2,9.3,99,99,99,999,9999,-4.8,999,999,99,99
2010,1,5,21,0,280,7.2,8.8,99,99,99,999,9999,-4.7,999,999,99,99
2010,1,5,22,0,290,7.2,7.7,99,99,99,999,9999,-5.4,999,999,99,99
2010,1,5,23,0,310,7.2,8.2,99,99,99,999,9999,-5.9,999,999,99,99
2010,1,6,0,0,290,8.2,9.3,99,99,99,999,9999,-5.9,999,999,99,99
2010,1,6,1,0,300,7.2,8.8,99,99,99,999,9999,-6.5,999,999,99,99
2010,1,6,2,0,290,6.7,8.8,99,99,99,999,9999,-6.7,999,999,99,99
2010,1,6,3,0,300,7.2,8.2,99,99,99,999,9999,-6.6,999,999,99,99
2010,1,6,4,0,290,6.7,7.2,99,99,99,999,9999,-6.4,999,999,99,99
2010,1,6,5,0,270,6.2,7.7,99,99,99,999,9999,-7.3,999,999,99,99
2010,1,6,6,0,280,6.2,8.2,99,99,99,999,9999,-8.1,999,999,99,99
2010,1,6,7,0,280,7.2,8.8,99,99,99,999,9999,-8.8,999,999,99,99
2010,1,6,8,0,290,5.7,6.7,99,99,99,999,9999,-8.7,999,999,99,99
2010,1,6,9,0,280,6.2,7.2,99,99,99,999,9999,-8.7,999,999,99,99
2010,1,6,10,0,290,5.1,6.2,99,99,99,999,9999,-8.6,999,999,99,99
