,#YY,MM,DD,hh,mm,WDIR,WSPD,GST,ATMP,DEWP
0,2014,1,1,0,0,280,2.6,3.6,-10.4,999
1,2014,1,1,0,30,310,2.1,3.6,-10.4,999
2,2014,1,1,0,45,290,3.1,4.1,-10.4,999
3,2014,1,1,1,0,280,3.1,3.6,-10.3,999
4,2014,1,1,1,15,290,3.1,4.1,-10.3,999
5,2014,1,1,1,45,290,4.1,5.1,-10.1,999
6,2014,1,1,2,0,280,4.6,5.7,-10.3,999
7,2014,1,1,2,15,280,4.6,6.2,-10.3,999
8,2014,1,1,2,30,300,4.6,5.7,-10.3,999
9,2014,1,1,2,45,290,3.1,4.6,-10.3,999
10,2014,1,1,3,0,330,4.1,5.1,-10.3,999
11,2014,1,1,3,15,320,4.1,6.2,-10.3,999
12,2014,1,1,3,30,330,5.1,6.2,-10.2,999
13,2014,1,1,3,45,350,6.2,7.2,-10.1,999
14,2014,1,1,4,0,350,6.2,7.7,-9.9,999
15,2014,1,1,4,15,350,5.7,7.2,-9.9,999
16,2014,1,1,4,45,360,6.7,8.2,-9.3,999
17,2014,1,1,5,0,360,6.7,7.7,-8.9,999
18,2014,1,1,5,15,360,6.7,8.2,-8.7,999
19,2014,1,1,5,45,10,6.7,7.7,-8.3,999
20,2014,1,1,6,0,10,7.2,8.2,-7.9,999
21,2014,1,1,6,30,10,7.7,9.3,-7.4,999
22,2014,1,1,6,45,10,7.7,8.8,-7.2,999
23,2014,1,1,7,0,20,7.2,9.8,-6.9,999
24,2014,1,1,7,30,20,7.2,8.8,-6.4,999
25,2014,1,1,7,45,30,6.7,7.7,-6.3,999
26,2014,1,1,8,0,20,6.7,8.2,-6.1,999
27,2014,1,1,8,15,30,7.2,8.2,-5.9,999
28,2014,1,1,8,30,30,6.7,8.8,-5.9,999
29,2014,1,1,8,45,40,7.2,8.2,-5.8,999
30,2014,1,1,9,0,40,7.2,9.3,-5.7,999
31,2014,1,1,9,15,40,7.2,8.8,-5.6,999
32,2014,1,1,9,30,40,7.7,9.3,-5.6,999
33,2014,1,1,9,45,40,7.7,9.8,-5.5,999
34,2014,1,1,10,0,50,7.2,8.8,-5.4,999
35,2014,1,1,10,15,50,6.7,7.7,-5.3,999
36,2014,1,1,10,30,50,7.2,8.8,-5.1,999
37,2014,1,1,10,45,50,7.7,9.3,-5.1,999
38,2014,1,1,11,0,60,7.2,8.8,-5.0,999
39,2014,1,1,11,15,50,8.2,9.8,-4.9,999
40,2014,1,1,11,30,80,9.8,1.3,-5.6,999
41,2014,1,1,11,45,80,9.8,1.8,-5.8,999
42,2014,1,1,12,0,70,8.8,1.3,-5.9,999
43,2014,1,1,12,15,80,9.3,0.8,-6.1,999
44,2014,1,1,12,30,80,9.3,0.8,-6.2,999
45,2014,1,1,12,45,80,9.8,1.8,-6.3,999
46,2014,1,1,13,0,70,0.8,2.4,-6.3,999
47,2014,1,1,13,15,80,0.3,1.8,-6.4,999
48,2014,1,1,13,30,80,0.3,2.4,-6.4,999
49,2014,1,1,13,45,70,0.3,2.4,-6.5,999
50,2014,1,1,14,0,70,9.8,1.8,-6.3,999
51,2014,1,1,14,15,60,0.3,2.4,-6.4,999
52,2014,1,1,14,30,70,9.8,2.4,-6.3,999
53,2014,1,1,14,45,70,0.3,1.8,-6.5,999
54,2014,1,1,15,0,70,0.8,2.4,-6.5,999
55,2014,1,1,15,15,70,0.8,1.8,-6.5,999
56,2014,1,1,15,30,70,0.8,2.4,-6.5,999
57,2014,1,1,15,45,70,0.8,1.8,-6.5,999
58,2014,1,1,16,0,70,0.3,1.8,-6.4,999
59,2014,1,1,16,15,70,0.8,2.9,-6.5,999
60,2014,1,1,16,30,70,0.8,2.9,-6.4,999
61,2014,1,1,16,45,70,1.8,3.9,-6.5,999
62,2014,1,1,17,0,70,1.8,3.9,-6.6,999
63,2014,1,1,17,30,70,1.3,2.9,-6.5,999
64,2014,1,1,17,45,70,1.3,2.9,-6.6,999
65,2014,1,1,18,0,60,0.8,2.4,-6.6,999
66,2014,1,1,18,30,50,1.3,3.4,-6.5,999
67,2014,1,1,18,45,60,0.8,2.4,-6.3,999
68,2014,1,1,19,0,50,0.8,2.4,-6.4,999
69,2014,1,1,19,15,50,0.8,2.9,-6.5,999
70,2014,1,1,19,30,60,1.3,3.4,-6.4,999
71,2014,1,1,19,45,60,1.8,3.4,-6.3,999
72,2014,1,1,20,0,50,1.3,2.9,-6.3,999
73,2014,1,1,20,15,50,1.3,2.9,-6.2,999
74,2014,1,1,20,30,50,1.3,3.4,-6.1,999
75,2014,1,1,20,45,50,1.3,2.9,-5.9,999
76,2014,1,1,21,0,50,1.8,3.4,-5.9,999
77,2014,1,1,21,30,50,0.3,2.9,-5.7,999
