,#YY,MM,DD,hh,mm,WDIR,WSPD,GST,ATMP,DEWP
96,2017,1,1,16,0,290,3.6,4.1,-1.5,-6.2
97,2017,1,1,16,10,300,2.6,3.1,-1.5,-5.8
98,2017,1,1,16,20,310,2.1,2.1,-1.4,-5.8
99,2017,1,1,16,30,320,1.5,1.5,-1.3,-6.1
100,2017,1,1,16,40,350,1.0,1.0,-1.2,-5.8
101,2017,1,1,16,50,0,0.0,0.0,-0.9,-6.0
102,2017,1,1,17,0,150,0.5,1.0,0.1,-5.8
103,2017,1,1,17,10,190,2.1,2.1,-0.8,-5.8
104,2017,1,1,17,20,180,4.6,5.1,-0.7,-4.9
105,2017,1,1,17,30,180,5.1,5.7,-0.2,-5.0
106,2017,1,1,17,40,170,5.7,6.7,0.1,-4.4
107,2017,1,1,17,50,170,6.2,7.7,0.0,-3.6
108,2017,1,1,18,0,170,5.7,6.7,0.2,-3.4
109,2017,1,1,18,10,180,5.7,5.7,0.8,-3.8
110,2017,1,1,18,20,200,5.7,6.2,1.7,-5.2
111,2017,1,1,18,30,200,5.7,6.2,2.1,-6.9
112,2017,1,1,18,40,200,5.7,5.7,2.2,-6.1
113,2017,1,1,18,50,200,5.1,5.7,2.4,-5.6
114,2017,1,1,19,0,200,7.2,7.2,2.5,-6.8
115,2017,1,1,19,10,200,5.1,5.7,2.5,-5.6
116,2017,1,1,19,20,190,6.2,6.2,2.5,-5.1
117,2017,1,1,19,30,190,6.2,6.2,2.6,-5.0
118,2017,1,1,19,40,190,7.2,7.7,3.0,-6.5
119,2017,1,1,19,50,200,6.7,6.7,3.0,-5.7
120,2017,1,1,20,0,190,6.2,6.2,3.2,-6.2
121,2017,1,1,20,10,200,6.2,6.2,3.1,-6.5
122,2017,1,1,20,20,190,5.7,6.2,3.5,-7.1
123,2017,1,1,20,30,190,5.1,5.1,3.5,-7.0
124,2017,1,1,20,40,200,4.1,4.6,3.7,-7.3
125,2017,1,1,20,50,200,4.1,4.1,3.9,-7.3
126,2017,1,1,21,0,170,3.1,3.1,3.8,-5.5
127,2017,1,1,21,10,160,2.1,3.1,4.0,-4.2
128,2017,1,1,21,20,160,2.6,3.1,3.6,-5.6
129,2017,1,1,21,30,120,3.1,3.1,3.2,-5.3
130,2017,1,1,21,40,100,3.6,3.6,2.8,-4.7
131,2017,1,1,21,50,80,3.1,3.1,3.4,-6.2
132,2017,1,1,22,0,100,3.1,3.1,3.2,-6.3
133,2017,1,1,22,10,100,3.1,3.6,3.0,-6.1
134,2017,1,1,22,20,100,3.1,3.1,2.9,-6.1
135,2017,1,1,22,30,120,3.1,3.6,2.9,-6.4
136,2017,1,1,22,40,130,4.1,4.1,2.9,-6.5
137,2017,1,1,22,50,150,4.6,5.1,3.0,-6.3
138,2017,1,1,23,0,140,5.1,5.1,2.8,-3.7
139,2017,1,1,23,10,140,5.1,5.1,2.9,-3.3
140,2017,1,1,23,20,130,4.6,4.6,2.9,-4.6
141,2017,1,1,23,30,120,5.1,5.1,3.0,-5.0
142,2017,1,1,23,40,130,5.1,5.1,3.0,-4.5
143,2017,1,1,23,50,140,5.1,5.7,2.6,-2.7
144,2017,1,2,0,0,150,4.6,5.1,2.6,-3.1
145,2017,1,2,0,10,140,4.6,5.1,2.8,-3.5
146,2017,1,2,0,20,140,5.1,5.1,2.9,-3.3
147,2017,1,2,0,30,130,3.6,3.6,3.0,-4.9
148,2017,1,2,0,40,140,3.6,3.6,3.0,-6.0
149,2017,1,2,0,50,140,3.1,3.6,3.0,-5.7
150,2017,1,2,1,0,120,2.6,3.1,2.9,-4.0
151,2017,1,2,1,10,100,3.1,3.1,3.0,-3.3
152,2017,1,2,1,20,90,3.6,3.6,3.0,-2.9
153,2017,1,2,1,30,80,5.1,5.7,3.1,-3.2
154,2017,1,2,1,40,80,5.1,5.1,3.3,-2.9
155,2017,1,2,1,50,80,5.7,5.7,3.4,-2.0
156,2017,1,2,2,0,90,6.2,6.2,3.3,-2.0
157,2017,1,2,2,10,100,5.7,5.7,3.1,-1.1
158,2017,1,2,2,20,110,5.1,5.7,3.0,-1.5
159,2017,1,2,2,30,110,5.1,5.1,3.2,-2.1
160,2017,1,2,2,40,110,5.1,5.1,3.3,-2.2
161,2017,1,2,2,50,100,5.7,5.7,3.3,-2.2
162,2017,1,2,3,0,100,5.7,6.2,3.3,-2.0
163,2017,1,2,3,10,100,6.7,7.2,3.1,-2.1
164,2017,1,2,3,20,100,5.7,5.7,3.2,-2.3
165,2017,1,2,3,30,90,5.7,5.7,3.2,-2.1
166,2017,1,2,3,40,100,6.2,6.7,3.2,-1.9
167,2017,1,2,3,50,100,6.2,6.2,3.2,-1.5
168,2017,1,2,4,0,100,5.7,6.2,3.2,-1.4
169,2017,1,2,4,10,100,6.2,6.2,3.2,-1.4
170,2017,1,2,4,20,100,6.2,6.2,3.2,-1.6
171,2017,1,2,4,30,100,6.2,6.7,3.3,-1.6
172,2017,1,2,4,40,100,6.7,6.7,3.2,-2.0
173,2017,1,2,4,50,100,5.7,5.7,3.3,-1.7
174,2017,1,2,5,0,100,5.1,5.1,3.3,-1.5
175,2017,1,2,5,10,100,5.1,5.1,3.2,-1.8
176,2017,1,2,5,20,100,5.1,5.7,3.2,-1.7
177,2017,1,2,5,30,100,5.1,5.1,3.3,-1.7
178,2017,1,2,5,40,100,5.7,5.7,3.2,-1.8
179,2017,1,2,5,50,90,5.7,5.7,3.2,-1.8
180,2017,1,2,6,0,90,5.7,6.2,3.1,-1.6
181,2017,1,2,6,10,90,6.7,6.7,3.2,-1.7
182,2017,1,2,6,20,90,6.2,6.2,3.0,-1.4
183,2017,1,2,6,30,100,5.7,5.7,3.0,-1.1
184,2017,1,2,6,40,100,6.2,6.2,3.1,-0.9
185,2017,1,2,6,50,100,6.7,6.7,3.2,-1.1
186,2017,1,2,7,0,100,6.2,6.7,3.1,-0.8
187,2017,1,2,7,10,100,6.2,6.7,3.2,-1.0
188,2017,1,2,7,20,100,5.1,5.7,3.1,-0.7
189,2017,1,2,7,30,110,5.1,5.1,2.9,-0.6
190,2017,1,2,7,40,110,5.1,5.7,2.9,-0.6
191,2017,1,2,7,50,100,5.7,5.7,2.9,-0.7
192,2017,1,2,8,0,110,4.6,4.6,2.8,-0.6
193,2017,1,2,8,10,100,4.1,4.6,2.8,-0.3
194,2017,1,2,8,20,100,3.6,3.6,2.7,-0.4
195,2017,1,2,8,30,100,3.6,3.6,2.6,-0.4
196,2017,1,2,8,40,100,4.1,4.1,2.9,-0.4
197,2017,1,2,8,50,100,5.1,5.1,3.0,-0.4
198,2017,1,2,9,0,90,5.1,5.7,3.0,-0.4
199,2017,1,2,9,10,100,5.1,5.7,2.9,-0.3
200,2017,1,2,9,20,100,5.1,5.7,2.7,-0.3
201,2017,1,2,9,30,100,5.7,6.2,2.8,-0.3
202,2017,1,2,9,40,100,5.7,6.2,2.9,-0.2
203,2017,1,2,9,50,90,6.2,6.2,3.0,-0.1
204,2017,1,2,10,0,90,7.2,7.7,3.0,-0.3
205,2017,1,2,10,10,80,6.7,7.2,2.9,0.0
206,2017,1,2,10,20,90,7.2,7.7,3.0,-0.1
207,2017,1,2,10,30,90,7.2,7.7,3.1,-0.3
208,2017,1,2,10,40,90,6.7,6.7,3.1,0.0
209,2017,1,2,10,50,90,7.7,8.2,3.1,-0.1
210,2017,1,2,11,0,90,7.2,7.7,3.0,0.0
211,2017,1,2,11,10,90,7.7,7.7,3.1,0.1
212,2017,1,2,11,20,80,6.7,7.2,3.0,0.4
213,2017,1,2,11,30,90,7.2,7.7,3.0,0.4
214,2017,1,2,11,40,90,6.7,7.2,3.1,0.6
215,2017,1,2,11,50,90,6.7,7.2,3.1,0.7
216,2017,1,2,12,0,100,6.2,6.7,3.2,0.7
217,2017,1,2,12,10,100,6.7,7.2,3.3,0.5
218,2017,1,2,12,20,110,6.2,6.7,3.2,0.5
219,2017,1,2,12,30,110,5.7,6.2,3.0,0.4
220,2017,1,2,12,40,100,5.7,6.2,3.1,0.2
221,2017,1,2,12,50,110,5.1,5.7,2.9,0.3
222,2017,1,2,13,0,100,6.2,6.7,2.9,0.1
223,2017,1,2,13,10,110,5.7,6.2,2.9,0.1
224,2017,1,2,13,20,120,5.1,5.1,2.7,0.0
225,2017,1,2,13,30,120,5.1,5.1,2.7,0.1
226,2017,1,2,13,40,120,4.6,5.1,2.7,0.2
227,2017,1,2,13,50,100,5.1,5.7,2.7,0.2
228,2017,1,2,14,0,110,5.1,5.1,2.7,0.4
229,2017,1,2,14,10,110,4.6,4.6,2.8,0.4
230,2017,1,2,14,20,120,4.1,4.1,2.7,0.4
231,2017,1,2,14,30,120,4.6,5.1,2.8,0.1
232,2017,1,2,14,40,120,4.6,4.6,2.9,0.0
233,2017,1,2,14,50,110,4.1,4.6,3.0,0.1
234,2017,1,2,15,0,110,3.6,3.6,2.9,0.4
235,2017,1,2,15,10,120,3.6,4.1,3.0,0.6
236,2017,1,2,15,20,120,3.6,3.6,3.0,0.6
237,2017,1,2,15,30,130,4.6,4.6,3.0,0.5
238,2017,1,2,15,40,120,4.6,5.1,2.9,0.5
239,2017,1,2,15,50,130,5.7,5.7,2.9,0.6
240,2017,1,2,16,0,140,5.7,6.2,2.8,0.7
241,2017,1,2,16,10,120,5.1,5.1,2.9,0.8
242,2017,1,2,16,20,110,6.2,6.7,2.9,1.0
243,2017,1,2,16,30,120,5.7,6.2,2.8,1.1
244,2017,1,2,16,40,130,4.6,4.6,2.8,1.0
245,2017,1,2,16,50,120,4.6,4.6,2.9,1.1
246,2017,1,2,17,0,140,5.7,5.7,2.7,1.1
247,2017,1,2,17,10,110,6.7,6.7,2.7,1.3
248,2017,1,2,17,20,140,4.6,5.1,2.6,1.4
