YYYY,MM,DD,hh,mm,WD,WSP,D GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2006,4,2,16,0,180,9.3,10.8,99,99,99,999,9999,6.5,999,999,99,99
2006,4,2,17,0,150,12.9,14.4,99,99,99,999,9999,6.2,999,999,99,99
2006,4,2,18,0,170,8.8,9.8,99,99,99,999,9999,7.3,999,999,99,99
2006,4,2,19,0,180,9.3,11.3,99,99,99,999,9999,8.1,999,999,99,99
2006,4,2,20,0,170,9.3,9.8,99,99,99,999,9999,7.5,999,999,99,99
2006,4,2,21,0,180,9.8,10.3,99,99,99,999,9999,9.2,999,999,99,99
2006,4,2,22,0,180,11.3,12.4,99,99,99,999,9999,10.5,999,999,99,99
2006,4,2,23,0,170,10.3,10.8,99,99,99,999,9999,10,999,999,99,99
2006,4,3,0,0,180,7.2,7.7,99,99,99,999,9999,10.1,999,999,99,99
2006,4,3,1,0,170,9.8,10.3,99,99,99,999,9999,11.5,999,999,99,99
2006,4,3,2,0,220,3.6,4.6,99,99,99,999,9999,12.6,999,999,99,99
2006,4,3,3,0,200,11.8,13.4,99,99,99,999,9999,12.1,999,999,99,99
2006,4,3,4,0,10,7.2,7.7,99,99,99,999,9999,12.6,999,999,99,99
2006,4,3,5,0,220,5.7,6.7,99,99,99,999,9999,11.6,999,999,99,99
2006,4,3,6,0,210,7.7,8.2,99,99,99,999,9999,12.4,999,999,99,99
2006,4,3,7,0,200,7.7,9.3,99,99,99,999,9999,10.7,999,999,99,99
2006,4,3,8,0,190,5.7,6.2,99,99,99,999,9999,11.1,999,999,99,99
2006,4,3,9,0,230,7.2,8.8,99,99,99,999,9999,11.3,999,999,99,99
2006,4,3,10,0,240,5.7,6.7,99,99,99,999,9999,10.3,999,999,99,99
2006,4,3,11,0,300,7.7,9.8,99,99,99,999,9999,10.4,999,999,99,99
2006,4,3,12,0,360,16,18,99,99,99,999,9999,5.5,999,999,99,99
2006,4,3,13,0,350,16,20.1,99,99,99,999,9999,6.2,999,999,99,99
2006,4,3,14,0,360,18.5,22.7,99,99,99,999,9999,4.4,999,999,99,99
2006,4,3,15,0,350,17,19,99,99,99,999,9999,4,999,999,99,99
2006,4,3,16,0,340,12.4,14.4,99,99,99,999,9999,5.9,999,999,99,99
2006,4,3,17,0,330,11.8,14.4,99,99,99,999,9999,6.6,999,999,99,99
2006,4,3,19,0,350,10.8,13.9,99,99,99,999,9999,7.1,999,999,99,99
2006,4,3,20,0,340,11.8,14.4,99,99,99,999,9999,7.7,999,999,99,99
2006,4,3,21,0,340,10.8,12.9,99,99,99,999,9999,8.6,999,999,99,99
2006,4,3,22,0,340,9.8,11.8,99,99,99,999,9999,9.4,999,999,99,99
2006,4,3,23,0,330,10.3,12.4,99,99,99,999,9999,9.5,999,999,99,99
2006,4,4,0,0,340,9.3,10.8,99,99,99,999,9999,9.8,999,999,99,99
2006,4,4,1,0,340,9.3,10.3,99,99,99,999,9999,9.8,999,999,99,99
2006,4,4,2,0,320,7.7,10.8,99,99,99,999,9999,9.5,999,999,99,99
2006,4,4,3,0,320,7.7,8.8,99,99,99,999,9999,9.1,999,999,99,99
2006,4,4,4,0,310,7.2,8.2,99,99,99,999,9999,8.5,999,999,99,99
2006,4,4,5,0,310,8.2,10.3,99,99,99,999,9999,7.6,999,999,99,99
2006,4,4,6,0,320,8.2,9.8,99,99,99,999,9999,7,999,999,99,99
2006,4,4,7,0,320,7.7,8.8,99,99,99,999,9999,6.5,999,999,99,99
2006,4,4,8,0,300,7.7,9.3,99,99,99,999,9999,5.6,999,999,99,99
2006,4,4,9,0,310,8.8,10.3,99,99,99,999,9999,5.2,999,999,99,99
2006,4,4,10,0,310,8.2,9.8,99,99,99,999,9999,4.8,999,999,99,99
2006,4,4,11,0,310,7.7,9.3,99,99,99,999,9999,4.5,999,999,99,99
2006,4,4,12,0,310,7.7,9.8,99,99,99,999,9999,4.3,999,999,99,99
2006,4,4,13,0,310,8.8,10.3,99,99,99,999,9999,4.5,999,999,99,99
2006,4,4,14,0,310,7.7,9.3,99,99,99,999,9999,4.7,999,999,99,99
2006,4,4,15,0,310,10.8,13.9,99,99,99,999,9999,5.3,999,999,99,99
2006,4,4,16,0,300,9.3,11.8,99,99,99,999,9999,6.1,999,999,99,99
2006,4,4,17,0,300,10.3,11.8,99,99,99,999,9999,7,999,999,99,99
2006,4,4,18,0,320,9.3,10.3,99,99,99,999,9999,7.9,999,999,99,99
2006,4,4,19,0,330,9.3,10.8,99,99,99,999,9999,8.9,999,999,99,99
2006,4,4,20,0,310,9.8,13.4,99,99,99,999,9999,9.9,999,999,99,99
2006,4,4,21,0,320,10.3,11.8,99,99,99,999,9999,10.7,999,999,99,99
2006,4,4,22,0,320,11.3,14.9,99,99,99,999,9999,11.6,999,999,99,99
2006,4,4,23,0,310,13.9,16,99,99,99,999,9999,12.2,999,999,99,99
2006,4,5,0,0,320,10.8,12.4,99,99,99,999,9999,12.3,999,999,99,99
2006,4,5,1,0,320,10.8,12.4,99,99,99,999,9999,12,999,999,99,99
2006,4,5,2,0,330,8.2,9.3,99,99,99,999,9999,11.4,999,999,99,99
2006,4,5,3,0,330,8.2,10.3,99,99,99,999,9999,10.8,999,999,99,99
2006,4,5,4,0,330,8.8,10.3,99,99,99,999,9999,10.3,999,999,99,99
2006,4,5,5,0,320,8.2,9.3,99,99,99,999,9999,9.4,999,999,99,99
2006,4,5,6,0,350,8.8,9.8,99,99,99,999,9999,8.7,999,999,99,99
2006,4,5,7,0,350,7.2,8.2,99,99,99,999,9999,8,999,999,99,99
2006,4,5,8,0,350,6.2,6.7,99,99,99,999,9999,7.3,999,999,99,99
2006,4,5,9,0,320,5.7,6.2,99,99,99,999,9999,7,999,999,99,99
2006,4,5,10,0,330,5.1,5.7,99,99,99,999,9999,6.4,999,999,99,99
2006,4,5,11,0,320,5.7,6.2,99,99,99,999,9999,5.8,999,999,99,99
2006,4,5,12,0,340,5.7,6.2,99,99,99,999,9999,6,999,999,99,99
2006,4,5,13,0,10,4.6,5.1,99,99,99,999,9999,5.9,999,999,99,99
2006,4,5,14,0,10,4.6,5.1,99,99,99,999,9999,5.4,999,999,99,99
2006,4,5,15,0,360,4.6,5.1,99,99,99,999,9999,5.2,999,999,99,99
2006,4,5,16,0,10,3.1,3.6,99,99,99,999,9999,5,999,999,99,99
2006,4,5,18,0,100,1.5,2.1,99,99,99,999,9999,5.7,999,999,99,99
2006,4,5,19,0,100,4.1,4.6,99,99,99,999,9999,4.8,999,999,99,99
2006,4,5,20,0,130,4.1,4.6,99,99,99,999,9999,5.1,999,999,99,99
2006,4,5,21,0,150,4.1,4.6,99,99,99,999,9999,5,999,999,99,99
2006,4,5,22,0,160,4.1,4.6,99,99,99,999,9999,5,999,999,99,99
2006,4,5,23,0,180,4.1,4.6,99,99,99,999,9999,5,999,999,99,99
2006,4,6,0,0,180,4.6,5.1,99,99,99,999,9999,5.1,999,999,99,99
2006,4,6,1,0,200,4.1,4.1,99,99,99,999,9999,5.1,999,999,99,99
2006,4,6,2,0,200,3.6,4.1,99,99,99,999,9999,6.1,999,999,99,99
2006,4,6,5,0,140,4.6,4.6,99,99,99,999,9999,6.6,999,999,99,99
2006,4,6,6,0,140,5.1,5.1,99,99,99,999,9999,6.4,999,999,99,99
2006,4,6,7,0,170,5.7,6.2,99,99,99,999,9999,6.2,999,999,99,99
2006,4,6,8,0,170,3.6,3.6,99,99,99,999,9999,5.8,999,999,99,99
2006,4,6,9,0,160,3.1,3.6,99,99,99,999,9999,5.5,999,999,99,99
2006,4,6,10,0,200,5.1,5.7,99,99,99,999,9999,5.6,999,999,99,99
2006,4,6,11,0,190,5.1,6.2,99,99,99,999,9999,6,999,999,99,99
2006,4,6,12,0,170,4.1,4.6,99,99,99,999,9999,6,999,999,99,99
2006,4,6,13,0,150,5.1,6.2,99,99,99,999,9999,5.7,999,999,99,99
2006,4,6,14,0,140,5.1,5.7,99,99,99,999,9999,5.5,999,999,99,99
2006,4,6,15,0,150,6.2,6.7,99,99,99,999,9999,5.6,999,999,99,99
2006,4,6,16,0,140,5.7,6.2,99,99,99,999,9999,6.3,999,999,99,99
2006,4,6,17,0,150,6.2,6.7,99,99,99,999,9999,6.8,999,999,99,99
2006,4,6,18,0,150,7.7,8.2,99,99,99,999,9999,7.3,999,999,99,99
2006,4,6,19,0,150,6.2,7.2,99,99,99,999,9999,9,999,999,99,99
2006,4,6,20,0,140,6.2,6.7,99,99,99,999,9999,8.4,999,999,99,99
2006,4,6,21,0,180,6.2,8.2,99,99,99,999,9999,9.1,999,999,99,99
2006,4,6,22,0,190,10.3,11.3,99,99,99,999,9999,10.2,999,999,99,99
2006,4,6,23,0,160,10.8,10.8,99,99,99,999,9999,10,999,999,99,99
2006,4,7,0,0,170,7.2,8.2,99,99,99,999,9999,8.5,999,999,99,99
2006,4,7,1,0,160,8.2,8.8,99,99,99,999,9999,9.1,999,999,99,99
2006,4,7,2,0,160,8.2,9.3,99,99,99,999,9999,7.9,999,999,99,99
2006,4,7,3,0,170,6.7,7.2,99,99,99,999,9999,7.8,999,999,99,99
2006,4,7,4,0,180,3.1,3.1,99,99,99,999,9999,7.5,999,999,99,99
2006,4,7,5,0,160,4.6,5.1,99,99,99,999,9999,9,999,999,99,99
2006,4,7,6,0,180,6.2,7.2,99,99,99,999,9999,8.6,999,999,99,99
2006,4,7,7,0,180,7.2,7.7,99,99,99,999,9999,9.3,999,999,99,99
2006,4,7,8,0,170,4.1,5.1,99,99,99,999,9999,8.3,999,999,99,99
2006,4,7,9,0,160,6.2,7.2,99,99,99,999,9999,8.5,999,999,99,99
2006,4,7,10,0,180,5.1,6.2,99,99,99,999,9999,8,999,999,99,99
2006,4,7,11,0,340,5.7,8.8,99,99,99,999,9999,8,999,999,99,99
2006,4,7,12,0,60,2.1,2.6,99,99,99,999,9999,6.1,999,999,99,99
2006,4,7,13,0,50,2.6,3.1,99,99,99,999,9999,6.1,999,999,99,99
2006,4,7,14,0,360,2.1,2.1,99,99,99,999,9999,6.8,999,999,99,99
2006,4,7,15,0,10,9.3,9.8,99,99,99,999,9999,5.1,999,999,99,99
2006,4,7,17,0,10,13.9,16,99,99,99,999,9999,4.3,999,999,99,99
2006,4,7,18,0,20,14.4,17.5,99,99,99,999,9999,4.2,999,999,99,99
2006,4,7,20,0,30,12.9,14.4,99,99,99,999,9999,3.7,999,999,99,99
2006,4,7,21,0,20,16,18.5,99,99,99,999,9999,3.3,999,999,99,99
2006,4,7,22,0,30,16.5,20.1,99,99,99,999,9999,3.4,999,999,99,99
2006,4,7,23,0,30,15.4,18,99,99,99,999,9999,3.6,999,999,99,99
2006,4,8,0,0,40,17.5,20.1,99,99,99,999,9999,2.3,999,999,99,99
2006,4,8,2,0,30,16,18,99,99,99,999,9999,2.5,999,999,99,99
2006,4,8,3,0,30,16.5,18.5,99,99,99,999,9999,1.8,999,999,99,99
2006,4,8,4,0,40,16,18,99,99,99,999,9999,1.6,999,999,99,99
2006,4,8,5,0,40,14.9,18.5,99,99,99,999,9999,1.2,999,999,99,99
2006,4,8,6,0,40,14.9,16.5,99,99,99,999,9999,1,999,999,99,99
2006,5,31,15,0,80,2.6,3.1,99,99,99,999,9999,18.2,999,999,99,99
2006,5,31,17,0,20,8.2,9.3,99,99,99,999,9999,15.8,999,999,99,99
2006,5,31,19,0,330,6.2,6.7,99,99,99,999,9999,14.1,999,999,99,99
2006,5,31,20,0,330,8.8,9.3,99,99,99,999,9999,14.2,999,999,99,99
2006,5,31,21,0,350,7.2,8.2,99,99,99,999,9999,15.4,999,999,99,99
2006,5,31,22,0,330,5.7,6.2,99,99,99,999,9999,15.6,999,999,99,99
2006,6,1,0,0,320,4.1,4.6,99,99,99,999,9999,15.8,999,999,99,99
2006,6,1,13,0,340,5.7,6.2,99,99,99,999,9999,14.6,999,999,99,99
2006,6,1,14,0,350,5.1,6.2,99,99,99,999,9999,15.1,999,999,99,99
2006,6,1,15,0,340,6.2,6.7,99,99,99,999,9999,14.6,999,999,99,99
2006,6,1,16,0,330,6.2,7.2,99,99,99,999,9999,14.7,999,999,99,99
2006,6,1,17,0,330,4.6,5.1,99,99,99,999,9999,15,999,999,99,99
2006,6,1,18,0,340,4.6,5.1,99,99,99,999,9999,15.1,999,999,99,99
2006,6,1,19,0,340,6.2,6.7,99,99,99,999,9999,15.5,999,999,99,99
2006,6,1,20,0,340,4.1,5.1,99,99,99,999,9999,15.8,999,999,99,99
2006,6,1,21,0,330,2.6,3.6,99,99,99,999,9999,15.6,999,999,99,99
2006,6,1,22,0,320,3.6,4.1,99,99,99,999,9999,15.6,999,999,99,99
2006,6,1,23,0,330,3.1,3.6,99,99,99,999,9999,16.5,999,999,99,99
2006,6,2,0,0,10,3.6,4.1,99,99,99,999,9999,18.3,999,999,99,99
2006,6,2,1,0,350,4.1,4.6,99,99,99,999,9999,17.4,999,999,99,99
2006,6,2,2,0,350,3.1,3.6,99,99,99,999,9999,17.6,999,999,99,99
2006,6,2,3,0,350,3.1,3.6,99,99,99,999,9999,17.4,999,999,99,99
2006,6,2,4,0,330,4.6,4.6,99,99,99,999,9999,17.2,999,999,99,99
2006,6,2,5,0,340,3.1,3.6,99,99,99,999,9999,17.3,999,999,99,99
2006,6,2,6,0,330,5.1,5.1,99,99,99,999,9999,17.6,999,999,99,99
2006,6,2,7,0,350,2.1,2.6,99,99,99,999,9999,17.4,999,999,99,99
2006,6,2,8,0,340,3.1,3.1,99,99,99,999,9999,17.1,999,999,99,99
2006,6,2,9,0,310,2.1,2.1,99,99,99,999,9999,18,999,999,99,99
2006,6,2,10,0,350,3.6,4.1,99,99,99,999,9999,17.4,999,999,99,99
2006,6,2,11,0,10,2.6,3.1,99,99,99,999,9999,16.4,999,999,99,99
2006,6,2,12,0,20,2.6,3.6,99,99,99,999,9999,15.6,999,999,99,99
2006,6,2,13,0,340,1.5,2.1,99,99,99,999,9999,15.7,999,999,99,99
2006,6,2,16,0,340,5.7,6.2,99,99,99,999,9999,15.5,999,999,99,99
2006,6,2,18,0,350,5.7,6.2,99,99,99,999,9999,16.1,999,999,99,99
2006,6,2,19,0,350,5.7,5.7,99,99,99,999,9999,15.7,999,999,99,99
2006,6,2,20,0,360,4.6,5.1,99,99,99,999,9999,15.4,999,999,99,99
2006,6,2,21,0,350,3.1,3.6,99,99,99,999,9999,15.7,999,999,99,99
2006,6,2,22,0,330,3.6,4.1,99,99,99,999,9999,16.2,999,999,99,99
2006,6,2,23,0,340,3.6,4.1,99,99,99,999,9999,16.4,999,999,99,99
2006,6,3,0,0,340,3.1,3.6,99,99,99,999,9999,16.3,999,999,99,99
2006,6,3,1,0,320,6.7,8.2,99,99,99,999,9999,16.1,999,999,99,99
2006,6,3,3,0,10,2.1,2.1,99,99,99,999,9999,15.5,999,999,99,99
2006,6,3,4,0,250,0,0.5,99,99,99,999,9999,15.2,999,999,99,99
2006,6,3,5,0,190,1,1,99,99,99,999,9999,15.3,999,999,99,99
2006,6,3,6,0,290,2.1,2.6,99,99,99,999,9999,15.4,999,999,99,99
2006,6,3,7,0,310,3.6,3.6,99,99,99,999,9999,16.5,999,999,99,99
2006,6,3,10,0,290,4.1,4.6,99,99,99,999,9999,15.8,999,999,99,99
2006,6,3,11,0,330,4.6,5.1,99,99,99,999,9999,16.2,999,999,99,99
2006,6,3,13,0,350,4.6,5.7,99,99,99,999,9999,16.2,999,999,99,99
2006,6,3,14,0,360,5.7,5.7,99,99,99,999,9999,15.7,999,999,99,99
2006,6,3,15,0,360,6.2,6.7,99,99,99,999,9999,15,999,999,99,99
2006,6,3,16,0,350,7.2,7.7,99,99,99,999,9999,14.7,999,999,99,99
2006,6,3,17,0,360,6.7,7.2,99,99,99,999,9999,14.3,999,999,99,99
2006,6,3,18,0,350,7.2,7.7,99,99,99,999,9999,14.3,999,999,99,99
2006,6,3,19,0,360,6.2,6.7,99,99,99,999,9999,14.5,999,999,99,99
2006,6,3,20,0,350,5.7,6.2,99,99,99,999,9999,14.6,999,999,99,99
2006,6,3,21,0,350,6.2,6.7,99,99,99,999,9999,14.8,999,999,99,99
2006,6,3,22,0,340,5.1,5.7,99,99,99,999,9999,15.4,999,999,99,99
2006,6,3,23,0,340,5.1,6.2,99,99,99,999,9999,15.8,999,999,99,99
2006,6,4,0,0,350,6.7,7.2,99,99,99,999,9999,16,999,999,99,99
2006,6,4,1,0,350,6.2,7.2,99,99,99,999,9999,16,999,999,99,99
2006,6,4,2,0,360,7.2,7.7,99,99,99,999,9999,16,999,999,99,99
2006,6,4,3,0,350,5.7,6.7,99,99,99,999,9999,16,999,999,99,99
2006,6,4,4,0,340,6.2,6.7,99,99,99,999,9999,15.8,999,999,99,99
2006,6,4,5,0,360,6.2,7.2,99,99,99,999,9999,16.1,999,999,99,99
2006,6,4,6,0,360,5.7,6.7,99,99,99,999,9999,15.2,999,999,99,99
2006,6,4,7,0,320,2.1,2.1,99,99,99,999,9999,14.3,999,999,99,99
