#YY,MM,DD,WDIR,WSPD,ATMP
2013,4,1,275.4166666666667,6.00104166666667,1.615625
2013,4,2,247.5,6.590625000000008,0.2125
2013,4,3,180.31578947368425,4.357894736842109,0.7442105263157897
2013,4,4,166.875,4.700000000000002,4.109375000000001
2013,4,5,165.83333333333334,6.575000000000006,4.846874999999999
2013,4,6,128.95833333333334,5.335416666666661,6.6166666666666645
2013,4,7,189.375,5.236458333333332,9.278124999999998
2013,4,8,137.5,6.111458333333331,7.810416666666666
2013,4,9,168.54166666666666,5.188541666666667,3.641666666666664
2013,4,10,247.91666666666663,5.532291666666668,3.391666666666668
2013,4,11,74.47916666666667,6.3010416666666735,4.054166666666666
2013,4,12,216.53061224489795,4.4265306122449015,5.575510204081632
2013,4,13,264.2708333333333,6.309375000000002,3.5281250000000006
2013,4,14,119.57894736842104,5.791578947368414,5.149473684210528
2013,4,15,198.02083333333331,4.391666666666668,13.73229166666667
2013,4,16,218.22916666666663,5.03229166666667,5.895833333333332
2013,4,17,86.84210526315788,5.2136842105263135,4.678947368421052
2013,4,18,158.73684210526315,4.452631578947367,10.66842105263158
2013,4,19,243.36842105263162,3.0989473684210562,4.874736842105263
2013,4,20,251.66666666666663,6.375000000000004,1.5041666666666669
2013,4,21,117.29166666666669,7.468750000000006,3.5208333333333326
2013,4,22,127.33333333333331,8.125,9.221666666666664
2013,4,23,191.5625,5.866666666666659,10.215624999999998
2013,4,24,251.54929577464787,5.669014084507044,3.5323943661971833
2013,4,25,248.85416666666663,6.364583333333344,7.178124999999998
2013,4,26,192.60416666666663,4.91145833333333,10.316666666666665
2013,4,27,150.74468085106383,5.473404255319148,11.727659574468086
2013,4,28,131.5625,3.129166666666667,8.040625000000004
2013,4,29,187.68421052631575,5.777894736842103,12.957894736842105
2013,4,30,183.54838709677418,3.0849462365591416,18.292473118279567
2013,5,1,156.97916666666666,5.811458333333326,20.97604166666667
2013,5,2,294.2553191489362,3.075531914893621,7.734042553191488
2013,5,3,322.9411764705883,7.776470588235288,4.794117647058824
2013,5,4,242.10526315789474,4.7031578947368455,8.792631578947368
2013,5,5,319.2631578947368,5.767368421052631,8.488421052631578
2013,5,6,342.10526315789474,5.946315789473681,8.576842105263156
2013,5,7,329.56989247311833,4.245161290322584,9.51290322580645
2013,5,8,179.58333333333337,1.8124999999999984,11.121875
