#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2017,1,1,11,0,200,5.7,6.2,99,99,99,999,9999,-2.8,999,-5.6,99,99
2017,1,1,11,10,200,6.7,7.2,99,99,99,999,9999,-2.9,999,-5.6,99,99
2017,1,1,11,20,200,7.2,7.2,99,99,99,999,9999,-3,999,-5.7,99,99
2017,1,1,11,30,200,6.2,6.7,99,99,99,999,9999,-3,999,-5.7,99,99
2017,1,1,11,40,200,6.2,6.7,99,99,99,999,9999,-3.1,999,-6,99,99
2017,1,1,11,50,200,5.7,6.2,99,99,99,999,9999,-2.8,999,-5.5,99,99
2017,1,1,12,0,210,5.7,6.7,99,99,99,999,9999,-2.7,999,-5.6,99,99
2017,1,1,12,10,200,6.7,7.2,99,99,99,999,9999,-2.8,999,-5.8,99,99
2017,1,1,12,20,210,7.2,7.7,99,99,99,999,9999,-3,999,-5.6,99,99
2017,1,1,12,30,210,7.2,7.7,99,99,99,999,9999,-3.2,999,-5.8,99,99
2017,1,1,12,40,200,7.7,8.2,99,99,99,999,9999,-3.1,999,-5.9,99,99
2017,1,1,12,50,200,7.2,8.2,99,99,99,999,9999,-3,999,-5.8,99,99
2017,1,1,13,0,200,7.7,8.8,99,99,99,999,9999,-3,999,-5.8,99,99
2017,1,1,13,10,200,7.7,8.8,99,99,99,999,9999,-3,999,-5.6,99,99
2017,1,1,13,20,210,7.7,8.8,99,99,99,999,9999,-3,999,-5.6,99,99
2017,1,1,13,30,210,8.8,9.8,99,99,99,999,9999,-3.2,999,-5.7,99,99
2017,1,1,13,40,210,8.8,9.8,99,99,99,999,9999,-3.2,999,-5.9,99,99
2017,1,1,13,50,230,5.7,7.7,99,99,99,999,9999,-2.5,999,-6.2,99,99
2017,1,1,14,0,260,5.7,6.2,99,99,99,999,9999,-2.7,999,-6.4,99,99
2017,1,1,14,10,260,6.2,6.7,99,99,99,999,9999,-2.8,999,-6.4,99,99
2017,1,1,14,20,250,5.1,5.7,99,99,99,999,9999,-2.7,999,-6.4,99,99
2017,1,1,14,30,250,4.1,4.6,99,99,99,999,9999,-2.4,999,-6.1,99,99
2017,1,1,14,40,240,4.1,5.7,99,99,99,999,9999,-2,999,-5.9,99,99
2017,1,1,14,50,220,5.1,5.7,99,99,99,999,9999,-1.8,999,-6,99,99
2017,1,1,15,0,220,4.6,5.7,99,99,99,999,9999,-2.1,999,-5.9,99,99
2017,1,1,15,10,220,3.6,4.1,99,99,99,999,9999,-2.1,999,-5.5,99,99
2017,1,1,15,20,220,3.1,3.6,99,99,99,999,9999,-1.9,999,-5.7,99,99
2017,1,1,15,30,260,2.1,2.6,99,99,99,999,9999,-1.7,999,-5.8,99,99
2017,1,1,15,40,260,1,2.1,99,99,99,999,9999,-1.5,999,-5.5,99,99
2017,1,1,15,50,280,3.6,3.6,99,99,99,999,9999,-1.6,999,-6.1,99,99
2017,1,1,16,0,290,3.6,4.1,99,99,99,999,9999,-1.5,999,-6.2,99,99
2017,1,1,16,10,300,2.6,3.1,99,99,99,999,9999,-1.5,999,-5.8,99,99
2017,1,1,16,20,310,2.1,2.1,99,99,99,999,9999,-1.4,999,-5.8,99,99
2017,1,1,16,30,320,1.5,1.5,99,99,99,999,9999,-1.3,999,-6.1,99,99
2017,1,1,16,40,350,1,1,99,99,99,999,9999,-1.2,999,-5.8,99,99
2017,1,1,16,50,0,0,0,99,99,99,999,9999,-0.9,999,-6,99,99
2017,1,1,17,0,150,0.5,1,99,99,99,999,9999,0.1,999,-5.8,99,99
2017,1,1,17,10,190,2.1,2.1,99,99,99,999,9999,-0.8,999,-5.8,99,99
2017,1,1,17,20,180,4.6,5.1,99,99,99,999,9999,-0.7,999,-4.9,99,99
2017,1,1,17,30,180,5.1,5.7,99,99,99,999,9999,-0.2,999,-5,99,99
2017,1,1,17,40,170,5.7,6.7,99,99,99,999,9999,0.1,999,-4.4,99,99
2017,1,1,17,50,170,6.2,7.7,99,99,99,999,9999,0,999,-3.6,99,99
2017,1,1,18,0,170,5.7,6.7,99,99,99,999,9999,0.2,999,-3.4,99,99
2017,1,1,18,10,180,5.7,5.7,99,99,99,999,9999,0.8,999,-3.8,99,99
2017,1,1,18,20,200,5.7,6.2,99,99,99,999,9999,1.7,999,-5.2,99,99
2017,1,1,18,30,200,5.7,6.2,99,99,99,999,9999,2.1,999,-6.9,99,99
2017,1,1,18,40,200,5.7,5.7,99,99,99,999,9999,2.2,999,-6.1,99,99
2017,1,1,18,50,200,5.1,5.7,99,99,99,999,9999,2.4,999,-5.6,99,99
2017,1,1,19,0,200,7.2,7.2,99,99,99,999,9999,2.5,999,-6.8,99,99
2017,1,1,19,10,200,5.1,5.7,99,99,99,999,9999,2.5,999,-5.6,99,99
2017,1,1,19,20,190,6.2,6.2,99,99,99,999,9999,2.5,999,-5.1,99,99
2017,1,1,19,30,190,6.2,6.2,99,99,99,999,9999,2.6,999,-5,99,99
2017,1,1,19,40,190,7.2,7.7,99,99,99,999,9999,3,999,-6.5,99,99
2017,1,1,19,50,200,6.7,6.7,99,99,99,999,9999,3,999,-5.7,99,99
2017,1,1,20,0,190,6.2,6.2,99,99,99,999,9999,3.2,999,-6.2,99,99
2017,1,1,20,10,200,6.2,6.2,99,99,99,999,9999,3.1,999,-6.5,99,99
2017,1,1,20,20,190,5.7,6.2,99,99,99,999,9999,3.5,999,-7.1,99,99
2017,1,1,20,30,190,5.1,5.1,99,99,99,999,9999,3.5,999,-7,99,99
2017,1,1,20,40,200,4.1,4.6,99,99,99,999,9999,3.7,999,-7.3,99,99
2017,1,1,20,50,200,4.1,4.1,99,99,99,999,9999,3.9,999,-7.3,99,99
2017,1,1,21,0,170,3.1,3.1,99,99,99,999,9999,3.8,999,-5.5,99,99
2017,1,1,21,10,160,2.1,3.1,99,99,99,999,9999,4,999,-4.2,99,99
2017,1,1,21,20,160,2.6,3.1,99,99,99,999,9999,3.6,999,-5.6,99,99
2017,1,1,21,30,120,3.1,3.1,99,99,99,999,9999,3.2,999,-5.3,99,99
2017,1,1,21,40,100,3.6,3.6,99,99,99,999,9999,2.8,999,-4.7,99,99
2017,1,1,21,50,80,3.1,3.1,99,99,99,999,9999,3.4,999,-6.2,99,99
2017,1,1,22,0,100,3.1,3.1,99,99,99,999,9999,3.2,999,-6.3,99,99
2017,1,1,22,10,100,3.1,3.6,99,99,99,999,9999,3,999,-6.1,99,99
2017,1,1,22,20,100,3.1,3.1,99,99,99,999,9999,2.9,999,-6.1,99,99
2017,1,1,22,30,120,3.1,3.6,99,99,99,999,9999,2.9,999,-6.4,99,99
2017,1,1,22,40,130,4.1,4.1,99,99,99,999,9999,2.9,999,-6.5,99,99
2017,1,1,22,50,150,4.6,5.1,99,99,99,999,9999,3,999,-6.3,99,99
2017,1,1,23,0,140,5.1,5.1,99,99,99,999,9999,2.8,999,-3.7,99,99
2017,1,1,23,10,140,5.1,5.1,99,99,99,999,9999,2.9,999,-3.3,99,99
2017,1,1,23,20,130,4.6,4.6,99,99,99,999,9999,2.9,999,-4.6,99,99
2017,1,1,23,30,120,5.1,5.1,99,99,99,999,9999,3,999,-5,99,99
2017,1,1,23,40,130,5.1,5.1,99,99,99,999,9999,3,999,-4.5,99,99
2017,1,1,23,50,140,5.1,5.7,99,99,99,999,9999,2.6,999,-2.7,99,99
2017,1,2,0,0,150,4.6,5.1,99,99,99,999,9999,2.6,999,-3.1,99,99
2017,1,2,0,10,140,4.6,5.1,99,99,99,999,9999,2.8,999,-3.5,99,99
2017,1,2,0,20,140,5.1,5.1,99,99,99,999,9999,2.9,999,-3.3,99,99
2017,1,2,0,30,130,3.6,3.6,99,99,99,999,9999,3,999,-4.9,99,99
