#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,4,17,0,200,11.3,13.9,99,99,99,999,9999,-2.7,999,999,99,99
2008,1,4,18,0,190,11.3,13.4,99,99,99,999,9999,-2.1,999,999,99,99
2008,1,4,19,0,190,10.3,12.4,99,99,99,999,9999,-1.5,999,999,99,99
2008,1,4,20,0,200,11.3,14.4,99,99,99,999,9999,-0.9,999,999,99,99
2008,1,4,21,0,190,11.3,12.9,99,99,99,999,9999,-0.3,999,999,99,99
2008,1,4,22,0,180,9.8,11.3,99,99,99,999,9999,0.3,999,999,99,99
2008,1,4,23,0,180,8.8,10.3,99,99,99,999,9999,0.3,999,999,99,99
2008,1,5,1,0,180,10.3,12.9,99,99,99,999,9999,1.4,999,999,99,99
2008,1,5,4,0,190,13.9,16,99,99,99,999,9999,2,999,999,99,99
2008,1,5,6,0,190,13.9,17,99,99,99,999,9999,2,999,999,99,99
2008,1,5,9,0,190,10.8,12.9,99,99,99,999,9999,2.6,999,999,99,99
2008,1,5,12,0,190,12.4,13.9,99,99,99,999,9999,2.5,999,999,99,99
2008,1,5,13,0,190,11.8,13.9,99,99,99,999,9999,2.9,999,999,99,99
2008,1,5,14,0,190,12.9,15.4,99,99,99,999,9999,3.1,999,999,99,99
2008,1,5,15,0,190,10.3,12.9,99,99,99,999,9999,3.5,999,999,99,99
2008,1,5,16,0,190,11.3,14.9,99,99,99,999,9999,3.9,999,999,99,99
2008,1,5,19,0,190,9.8,11.3,99,99,99,999,9999,5,999,999,99,99
2008,1,5,20,0,190,10.3,11.8,99,99,99,999,9999,5.4,999,999,99,99
2008,1,5,21,0,190,11.3,12.4,99,99,99,999,9999,5.5,999,999,99,99
2008,1,5,22,0,190,10.8,12.9,99,99,99,999,9999,5.8,999,999,99,99
2008,1,5,23,0,190,10.8,13.4,99,99,99,999,9999,6,999,999,99,99
2008,1,6,1,0,190,11.3,12.9,99,99,99,999,9999,6.3,999,999,99,99
2008,1,6,2,0,190,10.8,11.8,99,99,99,999,9999,6,999,999,99,99
2008,1,6,3,0,180,10.3,11.8,99,99,99,999,9999,6,999,999,99,99
2008,1,6,4,0,190,10.3,11.8,99,99,99,999,9999,6,999,999,99,99
2008,1,6,5,0,190,11.3,13.4,99,99,99,999,9999,6.1,999,999,99,99
2008,1,6,6,0,190,8.8,10.3,99,99,99,999,9999,5.8,999,999,99,99
2008,1,6,7,0,180,8.8,9.3,99,99,99,999,9999,5.8,999,999,99,99
2008,1,6,8,0,180,7.7,8.8,99,99,99,999,9999,5.8,999,999,99,99
2008,1,6,9,0,160,8.2,8.8,99,99,99,999,9999,5.5,999,999,99,99
2008,1,6,10,0,170,9.3,9.8,99,99,99,999,9999,6.2,999,999,99,99
2008,1,6,12,0,170,9.3,9.8,99,99,99,999,9999,7.1,999,999,99,99
2008,1,6,13,0,170,9.8,10.3,99,99,99,999,9999,7.4,999,999,99,99
2008,1,6,14,0,170,10.3,10.8,99,99,99,999,9999,8.3,999,999,99,99
2008,1,6,15,0,170,9.8,10.3,99,99,99,999,9999,8.2,999,999,99,99
2008,1,6,16,0,170,10.3,11.3,99,99,99,999,9999,8.7,999,999,99,99
2008,1,6,17,0,170,7.7,9.8,99,99,99,999,9999,7.5,999,999,99,99
2008,1,6,18,0,190,12.4,14.9,99,99,99,999,9999,11.1,999,999,99,99
2008,1,6,19,0,190,11.8,13.4,99,99,99,999,9999,12.3,999,999,99,99
2008,1,6,20,0,190,12.4,13.9,99,99,99,999,9999,13.5,999,999,99,99
2008,1,6,21,0,190,10.8,11.8,99,99,99,999,9999,14.4,999,999,99,99
2008,1,6,23,0,200,9.3,13.9,99,99,99,999,9999,15,999,999,99,99
2008,1,7,1,0,200,12.4,13.4,99,99,99,999,9999,14.3,999,999,99,99
2008,1,7,2,0,200,12.4,13.9,99,99,99,999,9999,14.3,999,999,99,99
2008,1,7,3,0,200,13.9,16,99,99,99,999,9999,14.7,999,999,99,99
2008,1,7,5,0,200,10.3,12.9,99,99,99,999,9999,14,999,999,99,99
2008,1,7,6,0,210,9.3,10.3,99,99,99,999,9999,13.6,999,999,99,99
2008,1,7,7,0,210,10.3,11.8,99,99,99,999,9999,13.7,999,999,99,99
2008,1,7,8,0,210,8.8,10.3,99,99,99,999,9999,13.8,999,999,99,99
2008,1,7,9,0,200,7.2,8.8,99,99,99,999,9999,13.7,999,999,99,99
2008,1,7,10,0,210,8.2,9.8,99,99,99,999,9999,13.9,999,999,99,99
2008,1,7,11,0,200,10.8,11.8,99,99,99,999,9999,13.9,999,999,99,99
2008,1,7,12,0,200,11.3,12.9,99,99,99,999,9999,13.8,999,999,99,99
2008,1,7,13,0,200,11.8,13.4,99,99,99,999,9999,14.4,999,999,99,99
2008,1,7,14,0,200,11.8,13.4,99,99,99,999,9999,14.4,999,999,99,99
2008,1,7,15,0,200,12.9,14.9,99,99,99,999,9999,14.8,999,999,99,99
2008,1,7,16,0,200,13.9,17.5,99,99,99,999,9999,14.2,999,999,99,99
2008,1,7,17,0,200,14.9,18,99,99,99,999,9999,15.7,999,999,99,99
2008,1,7,18,0,200,15.4,18,99,99,99,999,9999,15.7,999,999,99,99
2008,1,7,20,0,200,13.9,16,99,99,99,999,9999,16.8,999,999,99,99
2008,1,7,21,0,200,14.4,17.5,99,99,99,999,9999,17.2,999,999,99,99
2008,1,7,23,0,190,12.9,14.9,99,99,99,999,9999,17.3,999,999,99,99
2008,1,8,1,0,180,13.4,16,99,99,99,999,9999,11,999,999,99,99
2008,1,8,2,0,200,14.9,17,99,99,99,999,9999,12.2,999,999,99,99
2008,1,8,4,0,190,12.9,14.9,99,99,99,999,9999,12.9,999,999,99,99
2008,1,8,5,0,190,11.3,12.4,99,99,99,999,9999,12.5,999,999,99,99
2008,1,8,9,0,160,12.9,13.4,99,99,99,999,9999,11.1,999,999,99,99
2008,1,8,10,0,170,8.8,9.8,99,99,99,999,9999,7.9,999,999,99,99
2008,1,8,12,0,150,8.2,9.3,99,99,99,999,9999,9.4,999,999,99,99
2008,1,8,13,0,120,10.3,11.8,99,99,99,999,9999,8.7,999,999,99,99
2008,1,8,14,0,120,13.9,16,99,99,99,999,9999,8.8,999,999,99,99
2008,1,8,15,0,130,8.2,9.3,99,99,99,999,9999,8,999,999,99,99
2008,1,8,16,0,170,5.7,7.7,99,99,99,999,9999,6.7,999,999,99,99
2008,1,8,17,0,210,9.3,12.4,99,99,99,999,9999,12.1,999,999,99,99
