IGRA,LAT,LON,Number,Name,Fir_date,Last_date,Other_Number
DRM00078467,19.05,-69.3833,11.3,SABANA DE LA MAR ,11,1962,4059
DRM00078486,18.4333,-69.8833,14.0,SANTO DOMINGO ,14,2019,24335
ECM00084008,-0.9,-89.6,8.0,SAN CRISTOBAL RADIOSONDA ,8,2019,3823
ECM00084111,-2.2,-81.0,8.0,CHINCHIPE ,8,1945,601
ECM00084203,-2.1581,-79.8839,6.0,GUAYAQUIL AEROPUERTO ,6,2019,5487
EGM00062305,31.533,25.183,6.0,SALLUM PLATEAU ,6,2000,5346
EGM00062306,31.3253,27.2217,29.0,MERSA MATRUH ,29,2019,38482
EGM00062318,31.167,29.933,7.0,ALEXANDRIA/NOUZHA ,7,1986,2335
EGM00062332,31.283,32.233,1.0,PORT SAID/EL GAMIL ,1,1991,1814
EGM00062337,31.0733,33.8358,36.9,EL ARISH ,36,2019,13325
EGM00062366,30.1333,31.5667,74.0,CAIRO ,74,1960,6267
EGM00062378,29.8628,31.3492,139.3,HELWAN ,139,2019,44892
EGM00062387,28.083,30.733,39.0,MINYA ,39,1993,2596
EGM00062403,26.2003,32.7467,96.0,SOUTH OF VALLEY UNIVERSITY ,96,2014,4197
EGM00062405,25.667,32.7,82.0,LUXOR ,82,1990,7013
EGM00062414,23.9644,32.82,201.8,ASSWAN ,201,2017,37561
EGM00062417,29.183,25.517,-13.0,SIWA ,-13,2000,7069
EGM00062420,28.333,28.867,128.0,BAHARIA ,128,2000,5180
EGM00062423,27.0583,27.9892,82.2,FARAFRA ,82,2019,8182
EGM00062432,25.5,28.967,106.0,DAKHLA ,106,1999,4922
EGM00062435,25.45,30.533,78.0,KHARGA ,78,1995,5223
EGM00062463,27.15,33.717,16.0,HURGUADA ,16,1991,2188
EGXUAE04942,31.11,29.8,0.0,DEKHEILA/AL DAKHELA ,0,1951,527
EGXUAE04946,25.5,29.02,138.0,AL-DAKHLA ,138,1956,2591
EGXUAE04950,30.08,31.37,64.0,ALMAZA ,64,1954,1084
EGXUAE04951,29.75,31.3,25.0,AL-MINYA ,25,1956,4137
EGXUAE04953,28.37,28.93,220.0,AL-WAHAT AL-BAHRIYA ,220,1956,1848
EGXUAE04956,27.2,31.12,51.0,ASYUT ,51,1956,4165
EGXUAE04958,31.25,32.3,5.0,BUR SAID ,5,1956,3793
EGXUAE04974,31.62,25.93,24.0,SIDI BARRANI ,24,1956,1563
EIM00003953,51.9381,-10.2433,23.9,VALENTIA OBSERVATORY ,23,2019,67454
ENM00026038,59.3981,24.6028,32.9,TALLINN-HARKU ,32,2019,49112
ERM00063021,15.283,38.917,2325.0,ASMARA ,2325,1991,2299
ESM00078650,13.567,-89.833,15.0,ACAJUTLA ,15,1975,185
ESM00078663,13.7,-89.117,621.0,SAN SALVADOR/ILOPAN ,621,1976,689
ETM00063450,9.0333,38.75,2354.0,ADDIS ABABA-BOLE ,2354,2019,11712
ETM00063478,5.9,43.583,295.0,GODE ,295,1988,237
EUM00061972,-22.333,40.333,12.0,ILE EUROPA ,12,2001,7597
EZM00011518,50.1,14.2833,374.0,PRAHA/RUZYNE ,374,1967,8770
