#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2015,3,23,20,0,79,8.5,99,99,99,99,999,9999,-0.6,999,999,99,99
2015,3,23,21,0,78,7.9,99,99,99,99,999,9999,-0.4,999,999,99,99
2015,3,23,22,0,82,7.3,99,99,99,99,999,9999,-0.2,999,999,99,99
2015,3,23,23,0,83,6.3,99,99,99,99,999,9999,0,999,999,99,99
2015,3,24,0,0,78,7.7,99,99,99,99,999,9999,0.1,999,999,99,99
2015,3,24,1,0,89,6.4,99,99,99,99,999,9999,0.2,999,999,99,99
2015,3,24,2,0,105,4.5,99,99,99,99,999,9999,0.1,999,999,99,99
2015,3,24,3,0,90,5.5,99,99,99,99,999,9999,0.2,999,999,99,99
2015,3,24,4,0,96,5.2,99,99,99,99,999,9999,0.1,999,999,99,99
2015,3,24,5,0,105,5.4,99,99,99,99,999,9999,0.1,999,999,99,99
2015,3,24,6,0,110,4.7,99,99,99,99,999,9999,0,999,999,99,99
2015,3,24,7,0,107,4.3,99,99,99,99,999,9999,-0.3,999,999,99,99
2015,3,24,8,0,111,5.2,99,99,99,99,999,9999,-0.5,999,999,99,99
2015,3,24,9,0,114,4.4,99,99,99,99,999,9999,-0.8,999,999,99,99
2015,3,24,10,0,130,5.7,99,99,99,99,999,9999,-1.1,999,999,99,99
2015,3,24,11,0,131,5.9,99,99,99,99,999,9999,-1.4,999,999,99,99
2015,3,24,12,0,115,5.2,99,99,99,99,999,9999,-1.7,999,999,99,99
2015,3,24,13,0,109,5.5,99,99,99,99,999,9999,-1.5,999,999,99,99
2015,3,24,14,0,131,6.4,99,99,99,99,999,9999,-1,999,999,99,99
2015,3,24,15,0,118,4.7,99,99,99,99,999,9999,-0.4,999,999,99,99
2015,3,24,16,0,114,4.4,99,99,99,99,999,9999,0.1,999,999,99,99
2015,3,24,17,0,97,3.9,99,99,99,99,999,9999,0.5,999,999,99,99
2015,3,24,18,0,92,4.7,99,99,99,99,999,9999,0.9,999,999,99,99
2015,3,24,19,0,94,4,99,99,99,99,999,9999,1.8,999,999,99,99
2015,3,24,20,0,105,5.4,99,99,99,99,999,9999,1.9,999,999,99,99
2015,3,24,21,0,115,6.1,99,99,99,99,999,9999,2.9,999,999,99,99
2015,3,24,22,0,99,4.5,99,99,99,99,999,9999,2.9,999,999,99,99
2015,3,24,23,0,119,6.5,99,99,99,99,999,9999,3.2,999,999,99,99
2015,3,25,0,0,119,5.1,99,99,99,99,999,9999,3.5,999,999,99,99
2015,3,25,1,0,124,5.8,99,99,99,99,999,9999,3.5,999,999,99,99
2015,3,25,2,0,127,5.7,99,99,99,99,999,9999,3.6,999,999,99,99
2015,3,25,3,0,122,7.2,99,99,99,99,999,9999,3.5,999,999,99,99
2015,3,25,4,0,132,6.7,99,99,99,99,999,9999,4.1,999,999,99,99
2015,3,25,6,0,160,4.7,99,99,99,99,999,9999,4.9,999,999,99,99
