#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2017,1,1,0,0,282,3.5,99,99,99,99,999,9999,0.7,999,999,99,99
2017,1,1,1,0,267,1.9,99,99,99,99,999,9999,0.2,999,999,99,99
2017,1,1,2,0,266,1.9,99,99,99,99,999,9999,-0.2,999,999,99,99
2017,1,1,3,0,251,3.6,99,99,99,99,999,9999,-0.7,999,999,99,99
2017,1,1,4,0,264,2.2,99,99,99,99,999,9999,-1.3,999,999,99,99
2017,1,1,5,0,276,2.8,99,99,99,99,999,9999,-1.7,999,999,99,99
2017,1,1,6,0,292,1.4,99,99,99,99,999,9999,-2.4,999,999,99,99
2017,1,1,7,0,258,1.1,99,99,99,99,999,9999,-2.7,999,999,99,99
2017,1,1,8,0,219,1.3,99,99,99,99,999,9999,-2.8,999,999,99,99
2017,1,1,9,0,223,2.2,99,99,99,99,999,9999,-3.1,999,999,99,99
2017,1,1,10,0,245,1.9,99,99,99,99,999,9999,-3.7,999,999,99,99
2017,1,1,11,0,250,2.7,99,99,99,99,999,9999,-3.8,999,999,99,99
2017,1,1,12,0,241,2.7,99,99,99,99,999,9999,-4.1,999,999,99,99
2017,1,1,13,0,253,3,99,99,99,99,999,9999,-3.6,999,999,99,99
2017,1,1,14,0,253,2.3,99,99,99,99,999,9999,-2.2,999,999,99,99
2017,1,1,15,0,330,1.6,99,99,99,99,999,9999,-0.3,999,999,99,99
2017,1,1,16,0,137,3.1,99,99,99,99,999,9999,-0.2,999,999,99,99
2017,1,1,17,0,206,3.6,99,99,99,99,999,9999,2.7,999,999,99,99
2017,1,1,18,0,254,5.5,99,99,99,99,999,9999,3.4,999,999,99,99
2017,1,1,19,0,246,2.4,99,99,99,99,999,9999,4.4,999,999,99,99
2017,1,1,20,0,196,1.8,99,99,99,99,999,9999,4.6,999,999,99,99
2017,1,1,21,0,102,2,99,99,99,99,999,9999,2.9,999,999,99,99
2017,1,1,22,0,148,1.8,99,99,99,99,999,9999,2,999,999,99,99
2017,1,1,23,0,165,1.1,99,99,99,99,999,9999,2.1,999,999,99,99
2017,1,2,0,0,84,0.9,99,99,99,99,999,9999,1.9,999,999,99,99
