#YY,MM,DD,WDIR,WSPD,GST,ATMP,DEWP
2015,3,23,80.5,7.5,99.0,-0.3,999.0
2015,3,24,107.25,5.258333333333335,99.0,0.26249999999999996,999.0
2015,3,25,218.7826086956522,5.891304347826087,99.0,4.995652173913044,999.0
2015,3,26,232.17391304347825,2.760869565217391,99.0,3.7347826086956517,999.0
2015,3,27,51.31818181818182,7.209090909090907,99.0,-0.9954545454545454,999.0
2015,3,28,47.125,4.920833333333332,99.0,-2.183333333333334,999.0
2015,3,29,202.3913043478261,5.443478260869564,99.0,1.8521739130434782,999.0
2015,3,30,262.25,3.8874999999999997,99.0,9.266666666666667,999.0
2015,3,31,127.70833333333333,4.1375,99.0,7.262500000000002,999.0
2015,4,1,172.25,3.079166666666667,99.0,174.63749999999996,999.0
2015,4,2,216.75,4.454166666666667,99.0,14.779166666666667,999.0
2015,4,3,147.7391304347826,3.92608695652174,99.0,10.047826086956523,999.0
2015,4,4,230.58333333333334,4.6625,99.0,6.187499999999999,999.0
2015,4,5,234.5,4.891666666666667,99.0,12.924999999999999,999.0
2015,4,6,110.70833333333333,3.3333333333333335,99.0,8.75,999.0
2015,4,7,27.08695652173913,6.482608695652175,99.0,4.760869565217391,999.0
2015,4,8,94.91666666666667,4.166666666666667,99.0,6.116666666666666,999.0
2015,4,9,110.69565217391305,4.02608695652174,99.0,12.134782608695653,999.0
2015,4,10,253.5,5.020833333333333,99.0,12.145833333333334,999.0
2015,4,11,265.625,3.7125000000000004,99.0,10.3375,999.0
2015,4,12,191.0909090909091,3.7909090909090906,99.0,14.68181818181818,999.0
2015,4,13,233.63636363636363,4.090909090909092,99.0,17.08636363636364,999.0
2015,4,14,130.04166666666666,1.9375000000000002,99.0,12.508333333333335,999.0
2015,4,15,52.208333333333336,3.4708333333333337,99.0,8.2125,999.0
2015,4,16,72.45833333333333,3.0083333333333333,99.0,8.025,999.0
2015,4,17,200.29166666666666,2.520833333333333,99.0,13.941666666666665,999.0
2015,4,18,119.9090909090909,4.1000000000000005,99.0,13.57727272727273,999.0
2015,4,19,59.78260869565217,3.6434782608695646,99.0,10.104347826086956,999.0
2015,4,20,241.95833333333334,5.400000000000001,99.0,9.991666666666669,999.0
2015,4,21,270.9583333333333,6.041666666666667,99.0,8.558333333333332,999.0
2015,4,22,295.875,4.179166666666667,99.0,5.7,999.0
2015,4,23,227.875,2.9250000000000003,99.0,5.783333333333334,999.0
2015,4,24,140.70833333333334,2.7125,99.0,7.166666666666668,999.0
2015,4,25,92.61538461538461,6.699999999999999,99.0,7.0,999.0
2015,8,6,64.18181818181819,2.6363636363636362,99.0,23.17272727272728,999.0
2015,8,7,147.8095238095238,2.1857142857142855,99.0,23.34285714285714,999.0
2015,8,8,166.83333333333334,2.6375,99.0,24.150000000000006,999.0
2015,8,9,137.25,1.4291666666666665,99.0,22.57083333333334,999.0
2015,8,10,115.54166666666667,1.9916666666666665,99.0,23.529166666666665,999.0
2015,8,11,106.29166666666667,2.654166666666667,99.0,22.750000000000004,999.0
2015,8,12,104.08333333333333,1.9624999999999997,99.0,21.70416666666667,999.0
2015,8,13,238.33333333333334,3.3541666666666665,99.0,23.70833333333333,999.0
2015,8,14,256.95454545454544,4.045454545454547,99.0,26.209090909090904,999.0
2015,8,15,197.83333333333334,2.2666666666666666,99.0,24.34583333333333,999.0
2015,8,16,241.3181818181818,2.704545454545455,99.0,26.781818181818185,999.0
2015,8,17,229.875,2.5958333333333337,99.0,27.025000000000002,999.0
2015,8,18,211.66666666666666,2.7499999999999996,99.0,23.583333333333332,999.0
2015,8,19,226.04545454545453,4.70909090909091,99.0,22.927272727272726,999.0
2015,8,20,263.7391304347826,6.108695652173914,99.0,19.417391304347827,999.0
2015,8,21,231.0,2.645833333333333,99.0,21.75,999.0
2015,8,22,185.56521739130434,2.339130434782609,99.0,22.952173913043477,999.0
2015,8,23,220.56521739130434,3.391304347826087,99.0,22.65652173913043,999.0
2015,8,24,270.4583333333333,4.425,99.0,19.725,999.0
2015,8,25,244.75,2.4791666666666665,99.0,17.48333333333333,999.0
2015,8,26,53.666666666666664,2.1666666666666665,99.0,16.824999999999996,999.0
2015,8,27,133.79166666666666,1.366666666666667,99.0,17.97916666666667,999.0
2015,8,28,180.75,1.5000000000000002,99.0,20.20416666666667,999.0
2015,8,29,162.58333333333334,1.5249999999999997,99.0,20.383333333333333,999.0
2015,8,30,81.41666666666667,1.8708333333333336,99.0,18.870833333333334,999.0
2015,8,31,113.625,0.8624999999999999,99.0,21.470833333333328,999.0
2015,9,1,203.95833333333334,2.1583333333333337,99.0,26.04166666666666,999.0
2015,9,2,228.91666666666666,2.783333333333333,99.0,29.691666666666663,999.0
2015,9,3,251.0,3.0555555555555554,99.0,28.983333333333334,999.0
2015,9,4,46.04761904761905,2.247619047619047,99.0,22.166666666666668,999.0
2015,9,5,147.20833333333334,2.245833333333333,99.0,23.8125,999.0
2015,9,6,219.34782608695653,2.8391304347826085,99.0,27.443478260869572,999.0
2015,9,7,234.04347826086956,2.9956521739130437,99.0,28.40869565217391,999.0
2015,9,8,234.95454545454547,2.695454545454545,99.0,26.0909090909091,999.0
2015,9,9,163.75,2.4208333333333334,99.0,21.025000000000002,999.0
2015,9,10,192.16666666666666,1.7625000000000002,99.0,19.6875,999.0
2015,9,11,168.58333333333334,3.141666666666666,99.0,17.883333333333336,999.0
2015,9,12,182.0,5.6875,99.0,15.150000000000004,999.0
2015,9,13,244.625,2.4166666666666665,99.0,16.166666666666668,999.0
2015,9,14,216.42857142857142,3.0952380952380953,99.0,19.36190476190476,999.0
2015,9,15,217.91666666666666,3.770833333333334,99.0,22.974999999999994,999.0
2015,9,16,206.20833333333334,3.070833333333333,99.0,22.8125,999.0
2015,9,17,202.41666666666666,3.504166666666667,99.0,23.4875,999.0
2015,9,18,164.5,2.6090909090909093,99.0,22.804545454545455,999.0
2015,9,19,156.34782608695653,3.5304347826086953,99.0,18.339130434782607,999.0
2015,9,20,174.16666666666666,2.1708333333333334,99.0,16.73333333333333,999.0
2015,9,21,120.30434782608695,1.9260869565217393,99.0,18.08695652173913,999.0
2015,9,22,165.125,1.220833333333333,99.0,19.05,999.0
2015,9,23,108.21739130434783,1.4217391304347824,99.0,19.713043478260875,999.0
2015,9,24,66.52380952380952,1.8761904761904764,99.0,19.58095238095238,999.0
2015,9,25,88.71428571428571,3.4476190476190474,99.0,19.666666666666668,999.0
2015,9,26,92.04761904761905,2.585714285714286,99.0,19.499999999999996,999.0
2015,9,27,162.04545454545453,1.8136363636363633,99.0,20.313636363636363,999.0
2015,9,28,197.75,1.395,99.0,22.014999999999993,999.0
2015,9,29,109.4090909090909,4.368181818181818,99.0,19.604545454545455,999.0
2015,9,30,44.63636363636363,6.459090909090907,99.0,15.35,999.0
2015,10,1,76.58333333333333,5.041666666666668,99.0,13.858333333333333,999.0
2015,10,2,63.09090909090909,5.3909090909090915,99.0,13.854545454545452,999.0
2015,10,3,71.5909090909091,3.8227272727272723,99.0,11.695454545454544,999.0
2015,10,4,67.58333333333333,4.575,99.0,11.75,999.0
2015,10,5,54.708333333333336,3.191666666666667,99.0,14.325000000000003,999.0
2015,10,6,46.608695652173914,2.2043478260869565,99.0,15.186956521739136,999.0
2015,10,7,170.5,3.0500000000000007,99.0,15.570833333333331,999.0
2015,10,8,178.08333333333334,3.5041666666666664,99.0,18.575,999.0
2015,10,9,81.0,5.095652173913044,99.0,16.56086956521739,999.0
2015,10,10,181.20833333333334,2.720833333333333,99.0,14.516666666666666,999.0
2015,10,11,241.16666666666666,4.166666666666667,99.0,17.999999999999996,999.0
2015,10,12,248.91666666666666,4.783333333333334,99.0,20.22083333333334,999.0
2015,10,13,273.875,2.8333333333333335,99.0,13.887499999999998,999.0
2015,10,14,236.83333333333334,1.7999999999999998,99.0,12.300000000000002,999.0
2015,10,15,267.375,3.5833333333333335,99.0,14.712499999999999,999.0
2015,10,16,298.0833333333333,2.6416666666666666,99.0,11.1875,999.0
2015,10,17,254.08333333333334,2.3625000000000003,99.0,7.4375,999.0
2015,10,18,232.95833333333334,2.358333333333333,99.0,8.725,999.0
2015,10,19,225.875,4.841666666666668,99.0,14.516666666666667,999.0
2015,10,20,228.7826086956522,4.134782608695653,99.0,18.773913043478263,999.0
2015,10,21,225.95833333333334,3.7916666666666665,99.0,19.354166666666668,999.0
2015,10,22,91.3913043478261,2.9913043478260875,99.0,15.81739130434783,999.0
2015,10,23,120.20833333333333,3.941666666666666,99.0,13.991666666666665,999.0
