#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2018,1,4,0,0,331,4,99,99,99,99,999,9999,-9.9,999,999,99,99
2018,1,4,1,0,309,1.6,99,99,99,99,999,9999,-10.4,999,999,99,99
2018,1,4,2,0,329,3.4,99,99,99,99,999,9999,-10.3,999,999,99,99
2018,1,4,3,0,327,3.6,99,99,99,99,999,9999,-10.5,999,999,99,99
2018,1,4,4,0,331,3.4,99,99,99,99,999,9999,-11.1,999,999,99,99
2018,1,4,5,0,305,2.3,99,99,99,99,999,9999,-12.2,999,999,99,99
2018,1,4,6,0,322,2.8,99,99,99,99,999,9999,-12.7,999,999,99,99
2018,1,4,7,0,312,2.7,99,99,99,99,999,9999,-13.4,999,999,99,99
2018,1,4,8,0,330,3.4,99,99,99,99,999,9999,-13.7,999,999,99,99
2018,1,4,9,0,315,3,99,99,99,99,999,9999,-14.1,999,999,99,99
2018,1,4,10,0,329,3.3,99,99,99,99,999,9999,-14.4,999,999,99,99
2018,1,4,11,0,317,1.8,99,99,99,99,999,9999,-14.7,999,999,99,99
2018,1,4,12,0,309,2.3,99,99,99,99,999,9999,-15.2,999,999,99,99
2018,1,4,13,0,298,3,99,99,99,99,999,9999,-14.7,999,999,99,99
2018,1,4,14,0,301,2.9,99,99,99,99,999,9999,-14.8,999,999,99,99
2018,1,4,15,0,310,2.1,99,99,99,99,999,9999,-12.3,999,999,99,99
2018,1,4,16,0,335,3.4,99,99,99,99,999,9999,-11.4,999,999,99,99
2018,1,4,17,0,345,4.7,99,99,99,99,999,9999,-11,999,999,99,99
2018,1,4,18,0,337,2.3,99,99,99,99,999,9999,-10.4,999,999,99,99
2018,1,4,19,0,316,3.4,99,99,99,99,999,9999,-10,999,999,99,99
2018,1,4,20,0,318,3.4,99,99,99,99,999,9999,-9.9,999,999,99,99
2018,1,4,21,0,324,3.6,99,99,99,99,999,9999,-10.4,999,999,99,99
2018,1,4,22,0,311,2.6,99,99,99,99,999,9999,-11.2,999,999,99,99
2018,1,4,23,0,316,4,99,99,99,99,999,9999,-11.7,999,999,99,99
2018,1,5,0,0,318,3,99,99,99,99,999,9999,-12.5,999,999,99,99
2018,1,5,1,0,320,2.8,99,99,99,99,999,9999,-13,999,999,99,99
2018,1,5,2,0,319,2.4,99,99,99,99,999,9999,-13,999,999,99,99
2018,1,5,3,0,317,3.4,99,99,99,99,999,9999,-13,999,999,99,99
2018,1,5,4,0,296,2.4,99,99,99,99,999,9999,-13.1,999,999,99,99
2018,1,5,5,0,291,3.3,99,99,99,99,999,9999,-13.6,999,999,99,99
2018,1,5,6,0,299,2.8,99,99,99,99,999,9999,-13.9,999,999,99,99
2018,1,5,7,0,298,1.8,99,99,99,99,999,9999,-14.5,999,999,99,99
2018,1,5,8,0,294,2.5,99,99,99,99,999,9999,-15.1,999,999,99,99
2018,1,5,9,0,301,3.2,99,99,99,99,999,9999,-15.3,999,999,99,99
2018,1,5,10,0,306,4,99,99,99,99,999,9999,-15.4,999,999,99,99
2018,1,5,11,0,307,3.9,99,99,99,99,999,9999,-15.3,999,999,99,99
2018,1,5,12,0,327,3.6,99,99,99,99,999,9999,-15.3,999,999,99,99
2018,1,5,13,0,319,2.4,99,99,99,99,999,9999,-15.3,999,999,99,99
2018,1,5,14,0,322,3.2,99,99,99,99,999,9999,-14.4,999,999,99,99
2018,1,5,15,0,333,3.3,99,99,99,99,999,9999,-13.2,999,999,99,99
2018,1,5,16,0,327,3,99,99,99,99,999,9999,-12.4,999,999,99,99
2018,1,5,17,0,333,3.5,99,99,99,99,999,9999,-11.7,999,999,99,99
2018,1,5,18,0,301,3.9,99,99,99,99,999,9999,-11.2,999,999,99,99
2018,1,5,19,0,330,2.8,99,99,99,99,999,9999,-10.8,999,999,99,99
2018,1,5,20,0,341,3.4,99,99,99,99,999,9999,-10.9,999,999,99,99
2018,1,5,21,0,333,3.3,99,99,99,99,999,9999,-11.2,999,999,99,99
2018,1,5,22,0,317,2.2,99,99,99,99,999,9999,-11.8,999,999,99,99
2018,1,5,23,0,327,4.2,99,99,99,99,999,9999,-11.9,999,999,99,99
2018,1,6,0,0,323,3.7,99,99,99,99,999,9999,-12.3,999,999,99,99
2018,1,6,1,0,321,4.6,99,99,99,99,999,9999,-12.9,999,999,99,99
