DATE,lake_temp
2015-10-18,13.11
2015-10-19,13.02
2015-10-20,13.01
2015-10-21,12.99
2015-10-22,12.94
2015-10-23,12.83
2015-10-24,12.67
2015-10-25,12.55
2015-10-26,12.47
2015-10-27,12.39
2015-10-28,12.22
2015-10-29,11.94
2015-10-30,11.72
2015-10-31,11.58
2015-11-01,11.5
2015-11-02,11.54
2015-11-03,11.66
2015-11-04,11.64
2015-11-05,11.46
2015-11-06,11.18
2015-11-07,10.98
2015-11-08,10.94
2015-11-09,10.85
2015-11-10,10.74
2015-11-11,10.63
2015-11-12,10.4
2015-11-13,10.01
2015-11-14,9.76
2015-11-15,9.78
2015-11-16,9.78
2015-11-17,9.66
2015-11-18,9.47
2015-11-19,9.25
2015-11-20,9.03
2015-11-21,8.79
2015-11-22,8.54
2015-11-23,8.37
2015-11-24,8.25
2015-11-25,8.13
2015-11-26,7.98
2015-11-27,7.88
2015-11-28,7.81
2015-11-29,7.76
2015-11-30,7.73
2015-12-01,7.69
2015-12-02,7.65
2015-12-03,7.64
2015-12-04,7.66
2015-12-05,7.64
2015-12-06,7.56
2015-12-07,7.49
2015-12-08,7.45
2015-12-09,7.37
2015-12-10,7.31
2015-12-11,7.27
2015-12-12,7.26
2015-12-13,7.24
2015-12-14,7.17
2015-12-15,6.95
2015-12-16,6.79
2015-12-17,6.63
2015-12-18,6.53
2015-12-19,6.46
2015-12-20,6.43
2015-12-21,6.4
2015-12-22,6.36
2015-12-23,6.32
2015-12-24,6.18
2015-12-25,6.08
2015-12-26,5.89
2015-12-27,5.73
2015-12-28,5.58
2015-12-29,5.44
2015-12-30,5.29
2015-12-31,5.22
2016-01-01,5.18
2016-01-02,5.15
2016-01-03,5.1
2016-01-04,4.97
2016-01-05,4.85
2016-01-06,4.8
2016-01-07,4.8
2016-01-08,4.81
2016-01-09,4.78
2016-01-10,4.71
2016-01-11,4.43
2016-01-12,4.33
2016-01-13,4.07
2016-01-14,3.97
2016-01-15,3.98
2016-01-16,3.78
2016-01-17,3.49
2016-01-18,3.36
2016-01-19,3.29
2016-01-20,3.09
2016-01-21,3.03
2016-01-22,2.99
2016-01-23,2.95
2016-01-24,2.93
2016-01-25,3.06
2016-01-26,3.02
2016-01-27,2.99
2016-01-28,3.0
2016-01-29,2.99
2016-01-30,2.99
2016-01-31,2.99
2016-02-01,3.02
2016-02-02,2.96
2016-02-03,2.91
2016-02-04,2.81
2016-02-05,2.79
2016-02-06,2.81
2016-02-07,2.84
2016-02-08,2.8
2016-02-09,2.71
2016-02-10,2.66
2016-02-11,2.55
2016-02-12,2.48
2016-02-13,2.33
2016-02-14,2.23
2016-02-15,2.35
2016-02-16,2.35
2016-02-17,2.36
2016-02-18,2.4
2016-02-19,2.66
2016-02-20,2.65
2016-02-21,2.68
2016-02-22,2.62
2016-02-23,2.58
2016-02-24,2.49
2016-02-25,2.48
2016-02-26,2.4
2016-02-27,2.45
2016-02-28,2.52
2016-02-29,2.46
2016-03-01,2.39
2016-03-02,2.21
2016-03-03,2.23
2016-03-04,2.31
2016-03-05,2.47
2016-03-06,2.8
2016-03-07,3.03
2016-03-08,3.09
2016-03-09,3.04
2016-03-10,2.92
2016-03-11,2.92
2016-03-12,3.0
2016-03-13,2.99
2016-03-14,2.97
2016-03-15,2.95
2016-03-16,2.93
2016-03-17,2.97
2016-03-18,2.94
2016-03-19,2.97
2016-03-20,2.99
2016-03-21,3.01
2016-03-22,3.09
2016-03-23,3.15
2016-03-24,3.19
2016-03-25,3.21
2016-03-26,3.23
2016-03-27,3.28
2016-03-28,3.32
2016-03-29,3.36
2016-03-30,3.38
2016-03-31,3.4
2016-04-01,3.42
2016-04-02,3.42
2016-04-03,3.41
2016-04-04,3.31
2016-04-05,3.27
2016-04-06,3.36
2016-04-07,3.4
2016-04-08,3.43
2016-04-09,3.47
2016-04-10,3.55
2016-04-11,3.58
2016-04-12,3.61
2016-04-13,3.75
2016-04-14,3.93
2016-04-15,4.21
2016-04-16,4.51
2016-04-17,4.64
2016-04-18,4.62
2016-04-19,4.55
2016-04-20,4.52
2016-04-21,4.54
2016-04-22,4.55
2016-04-23,4.56
2016-04-24,4.59
2016-04-25,4.67
2016-04-26,4.7
2016-04-27,4.72
2016-04-28,4.77
2016-04-29,4.83
2016-04-30,4.86
2016-05-01,4.93
2016-05-02,5.01
2016-05-03,5.13
2016-05-04,5.2
2016-05-05,5.26
2016-05-06,5.41
2016-05-07,5.54
2016-05-08,5.62
2016-05-09,5.72
2016-05-10,5.81
2016-05-11,5.93
2016-05-12,6.13
2016-05-13,6.25
2016-05-14,6.27
2016-05-15,6.24
2016-05-16,6.35
2016-05-17,6.57
2016-05-18,6.9
2016-05-19,7.31
2016-05-20,7.73
2016-05-21,8.46
2016-05-22,8.95
2016-05-23,9.23
2016-05-24,9.39
2016-05-25,9.7
2016-05-26,10.12
2016-05-27,10.79
2016-05-28,11.52
2016-05-29,12.02
2016-05-30,12.54
2016-05-31,12.69
2016-06-01,12.74
2016-06-02,12.91
2016-06-03,13.32
2016-06-04,13.4
2016-06-05,13.25
2016-06-06,13.14
2016-06-07,12.98
2016-06-08,12.89
2016-06-09,13.17
2016-06-10,13.62
2016-06-11,14.14
2016-06-12,14.22
2016-06-13,14.3
2016-06-14,14.64
2016-06-15,15.03
2016-06-16,15.18
2016-06-17,15.31
2016-06-18,15.79
2016-06-19,16.28
2016-06-20,16.38
2016-06-21,16.33
2016-06-22,16.57
2016-06-23,16.97
2016-06-24,17.36
2016-06-25,17.65
2016-06-26,17.72
2016-06-27,17.74
2016-06-28,17.64
2016-06-29,17.71
2016-06-30,17.77
2016-07-01,17.75
2016-07-02,17.88
2016-07-03,18.18
2016-07-04,18.55
2016-07-05,18.95
2016-07-06,19.18
2016-07-07,19.33
2016-07-08,19.41
2016-07-09,19.35
2016-07-10,19.38
2016-07-11,19.67
2016-07-12,19.98
2016-07-13,20.14
2016-07-14,20.18
2016-07-15,20.1
2016-07-16,20.12
2016-07-17,20.23
2016-07-18,20.33
2016-07-19,20.54
2016-07-20,20.82
2016-07-21,21.15
2016-07-22,21.55
2016-07-23,21.85
2016-07-24,21.99
2016-07-25,22.11
2016-07-26,22.33
2016-07-27,22.46
2016-07-28,22.52
2016-07-29,22.49
2016-07-30,22.43
2016-07-31,22.5
2016-08-01,22.77
2016-08-02,23.15
2016-08-03,23.42
2016-08-04,23.58
2016-08-05,23.48
2016-08-06,23.38
2016-08-07,23.38
2016-08-08,23.46
2016-08-09,23.61
2016-08-10,23.81
2016-08-11,23.92
2016-08-12,23.87
2016-08-13,23.81
2016-08-14,23.83
2016-08-15,23.94
2016-08-16,24.16
2016-08-17,24.23
2016-08-18,24.2
2016-08-19,24.02
2016-08-20,23.57
2016-08-21,23.01
2016-08-22,22.77
2016-08-23,22.58
2016-08-24,22.45
2016-08-25,22.34
2016-08-26,22.28
2016-08-27,22.3
2016-08-28,22.34
2016-08-29,22.41
2016-08-30,22.37
2016-08-31,22.19
2016-09-01,21.99
2016-09-02,21.87
2016-09-03,21.79
2016-09-04,21.82
2016-09-05,21.97
2016-09-06,22.16
2016-09-07,22.17
2016-09-08,22.05
2016-09-09,21.93
2016-09-10,21.7
2016-09-11,21.57
2016-09-12,21.41
2016-09-13,21.24
2016-09-14,21.04
2016-09-15,20.93
2016-09-16,20.84
2016-09-17,20.73
2016-09-18,20.73
2016-09-19,20.79
2016-09-20,20.89
2016-09-21,20.88
2016-09-22,20.71
2016-09-23,20.49
2016-09-24,20.34
2016-09-25,20.17
2016-09-26,19.79
2016-09-27,19.37
2016-09-28,19.06
2016-09-29,18.85
2016-09-30,18.66
2016-10-01,18.4
2016-10-02,18.24
2016-10-03,18.17
2016-10-04,18.14
2016-10-05,18.08
2016-10-06,17.95
2016-10-07,17.72
2016-10-08,17.47
2016-10-09,17.24
2016-10-10,17.13
2016-10-11,17.04
2016-10-12,16.84
2016-10-13,16.44
2016-10-14,16.16
2016-10-15,16.08
2016-10-16,15.98
2016-10-17,15.91
2016-10-18,15.76
2016-10-19,15.61
2016-10-20,15.42
2016-10-21,15.18
2016-10-22,14.94
2016-10-23,14.82
2016-10-24,14.69
2016-10-25,14.55
2016-10-26,14.44
2016-10-27,14.21
2016-10-28,13.94
2016-10-29,13.61
2016-10-30,13.42
2016-10-31,13.31
2016-11-01,13.26
2016-11-02,13.2
2016-11-03,13.14
2016-11-04,13.15
2016-11-05,13.17
2016-11-06,13.2
2016-11-07,13.2
2016-11-08,13.04
2016-11-09,12.83
2016-11-10,12.75
2016-11-11,12.6
2016-11-12,12.39
2016-11-13,12.25
2016-11-14,12.11
2016-11-15,11.92
2016-11-16,11.78
2016-11-17,11.73
2016-11-18,11.7
2016-11-19,11.61
2016-11-20,11.27
2016-11-21,10.84
2016-11-22,10.55
2016-11-23,10.24
2016-11-24,9.75
2016-11-25,9.43
2016-11-26,9.2
2016-11-27,9.03
2016-11-28,8.94
2016-11-29,8.87
2016-11-30,8.83
2016-12-01,8.82
2016-12-02,8.8
2016-12-03,8.74
2016-12-04,8.57
2016-12-05,8.42
2016-12-06,8.24
2016-12-07,8.02
2016-12-08,7.86
2016-12-09,7.67
2016-12-10,6.99
2016-12-11,6.42
2016-12-12,6.27
2016-12-13,6.01
2016-12-14,5.91
2016-12-15,5.66
2016-12-16,5.3
2016-12-17,5.01
2016-12-18,4.97
2016-12-19,4.9
2016-12-20,4.83
2016-12-21,4.78
2016-12-22,4.84
2016-12-23,4.86
2016-12-24,4.88
2016-12-25,4.92
2016-12-26,4.97
2016-12-27,4.92
2016-12-28,4.79
2016-12-29,4.67
2016-12-30,4.56
2016-12-31,4.41
2017-01-01,4.36
2017-01-02,4.36
2017-01-03,4.36
2017-01-04,4.33
2017-01-05,4.14
2017-01-06,3.58
2017-01-07,3.51
2017-01-08,3.4
2017-01-09,3.36
2017-01-10,3.35
2017-01-11,3.28
2017-01-12,3.22
2017-01-13,3.16
2017-01-14,3.11
2017-01-15,3.1
2017-01-16,2.97
2017-01-17,3.02
2017-01-18,3.02
2017-01-19,3.32
2017-01-20,3.4
2017-01-21,3.41
2017-01-22,3.39
2017-01-23,3.33
2017-01-24,3.26
2017-01-25,3.1
2017-01-26,3.03
2017-01-27,2.97
2017-01-28,2.94
2017-01-29,2.89
2017-01-30,2.85
2017-01-31,2.77
2017-02-01,2.69
2017-02-02,2.63
2017-02-03,2.54
2017-02-04,2.57
2017-02-05,2.64
2017-02-06,2.52
2017-02-07,2.48
2017-02-08,2.47
2017-02-09,2.53
2017-02-10,2.54
2017-02-11,2.56
2017-02-12,2.53
2017-02-13,2.58
2017-02-14,2.61
2017-02-15,2.73
2017-02-16,2.86
2017-02-17,3.01
2017-02-18,3.14
2017-02-19,3.14
2017-02-20,3.12
2017-02-21,3.12
2017-02-22,3.14
2017-02-23,3.07
2017-02-24,2.97
2017-02-25,2.83
2017-02-26,2.76
2017-02-27,2.77
2017-02-28,2.74
2017-03-01,2.67
2017-03-02,2.56
2017-03-03,2.53
2017-03-04,2.49
2017-03-05,2.6
2017-03-06,2.75
2017-03-07,2.84
2017-03-08,2.85
2017-03-09,2.8
2017-03-10,2.72
2017-03-11,2.6
2017-03-12,2.51
2017-03-13,2.45
2017-03-14,2.44
2017-03-15,2.41
2017-03-16,2.47
2017-03-17,2.49
2017-03-18,2.5
2017-03-19,2.5
2017-03-20,2.51
2017-03-21,2.51
2017-03-22,2.46
2017-03-23,2.44
2017-03-24,2.54
2017-03-25,2.61
2017-03-26,2.62
2017-03-27,2.63
2017-03-28,2.64
2017-03-29,2.7
2017-03-30,2.78
2017-03-31,2.83
2017-04-01,2.87
2017-04-02,2.93
2017-04-03,3.04
2017-04-04,3.14
2017-04-05,3.25
2017-04-06,3.35
2017-04-07,3.4
2017-04-08,3.42
2017-04-09,3.47
2017-04-10,3.53
2017-04-11,3.56
2017-04-12,3.6
2017-04-13,3.71
2017-04-14,3.9
2017-04-15,4.11
2017-04-16,4.16
2017-04-17,4.14
2017-04-18,4.18
2017-04-19,4.3
2017-04-20,4.41
2017-04-21,4.48
2017-04-22,4.6
2017-04-23,4.71
2017-04-24,4.76
2017-04-25,4.97
2017-04-26,5.07
2017-04-27,5.01
2017-04-28,4.94
2017-04-29,4.93
2017-04-30,5.01
2017-05-01,5.06
2017-05-02,5.04
2017-05-03,5.06
2017-05-04,5.18
2017-05-05,5.26
