DATE,lake_temp
2014-01-16,2.09
2014-01-17,2.07
2014-01-18,1.91
2014-01-19,1.86
2014-01-20,1.81
2014-01-21,1.73
2014-01-22,1.63
2014-01-23,1.49
2014-01-24,1.28
2014-01-25,1.37
2014-01-26,1.4
2014-01-27,1.35
2014-01-28,1.03
2014-01-29,0.85
2014-01-30,0.85
2014-01-31,0.91
2014-02-01,0.85
2014-02-02,0.78
2014-02-03,0.73
2014-02-04,0.68
2014-02-05,0.66
2014-02-06,0.68
2014-02-07,0.48
2014-02-08,0.5
2014-02-09,0.45
2014-02-10,0.48
2014-02-11,0.34
2014-02-12,0.3
2014-02-13,0.3
2014-02-14,0.37
2014-02-15,0.2
2014-02-16,0.2
2014-02-17,0.45
2014-02-18,0.36
2014-02-19,0.51
2014-02-20,0.52
2014-02-21,0.59
2014-02-22,0.62
2014-02-23,0.69
2014-02-24,0.66
2014-02-25,0.54
2014-02-26,0.54
2014-02-27,0.49
2014-02-28,0.28
2014-03-01,0.2
2014-03-02,0.2
2014-03-03,0.25
2014-03-04,0.21
2014-03-05,0.22
2014-03-06,0.21
2014-03-07,0.2
2014-03-08,0.2
2014-03-09,0.2
2014-03-10,0.3
2014-03-11,0.27
2014-03-12,0.27
2014-03-13,0.26
2014-03-14,0.4
2014-03-15,0.2
2014-03-16,0.43
2014-03-17,0.32
2014-03-18,0.36
2014-03-19,0.36
2014-03-20,0.39
2014-03-21,0.2
2014-03-22,0.2
2014-03-23,0.2
2014-03-24,0.36
2014-03-25,0.4
2014-03-26,0.47
2014-03-27,0.52
2014-03-28,0.61
2014-03-29,0.7
2014-03-30,0.69
2014-03-31,0.73
2014-04-01,0.74
2014-04-02,0.83
2014-04-03,0.84
2014-04-04,0.91
2014-04-05,0.95
2014-04-06,0.95
2014-04-07,1.08
2014-04-08,1.05
2014-04-09,1.11
2014-04-10,1.18
2014-04-11,1.21
2014-04-12,1.22
2014-04-13,1.23
2014-04-14,1.19
2014-04-15,1.15
2014-04-16,1.18
2014-04-17,1.27
2014-04-18,1.32
2014-04-19,1.4
2014-04-20,1.48
2014-04-21,1.53
2014-04-22,1.61
2014-04-23,1.68
2014-04-24,1.72
2014-04-25,1.78
2014-04-26,1.72
2014-04-27,1.72
2014-04-28,1.9
2014-04-29,1.97
2014-04-30,1.99
2014-05-01,2.29
2014-05-02,2.32
2014-05-03,2.35
2014-05-04,2.37
2014-05-05,2.52
2014-05-06,2.63
2014-05-07,2.75
2014-05-08,3.08
2014-05-09,3.23
2014-05-10,3.31
2014-05-11,3.43
2014-05-12,3.51
2014-05-13,3.56
2014-05-14,3.64
2014-05-15,3.61
2014-05-16,3.65
2014-05-17,3.81
2014-05-18,4.03
2014-05-19,4.38
2014-05-20,4.94
2014-05-21,5.32
2014-05-22,5.3
2014-05-23,5.31
2014-05-24,5.51
2014-05-25,5.84
2014-05-26,6.13
2014-05-27,6.5
2014-05-28,6.93
2014-05-29,7.35
