DATE,garden_prcp,garden_maxtmp,garden_mintmp,garden_tobs,lake_temp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_atmp,ohare_maxtmp,ohare_mintmp,ohare_w2dir,ohare_w2spd
2013-05-25,0.0,55.0,37.0,48.0,6.57,5.14,0.0,0.0,0.0,50.0,57,44,70,10.1
2013-05-26,0.0,58.0,38.0,52.0,6.75,7.38,0.02,0.0,0.0,54.0,68,44,120,17.0
2013-05-27,0.01,65.0,49.0,53.0,7.04,9.17,0.23,0.0,0.0,57.0,62,53,120,17.0
2013-05-28,0.26,66.0,51.0,66.0,7.62,10.29,0.2,0.0,0.0,65.0,76,56,210,23.0
2013-05-29,0.05,79.0,64.0,67.0,8.56,8.72,0.01,0.0,0.0,71.0,84,64,180,18.1
2013-05-30,0.0,82.0,67.0,76.0,9.21,14.54,0.51,0.0,0.0,76.0,83,64,160,25.9
2013-05-31,0.67,85.0,62.0,68.0,9.19,12.08,0.3,0.0,0.0,71.0,77,64,220,21.9
2013-06-01,0.0,80.0,66.0,68.0,8.87,12.97,0.56,0.0,0.0,70.0,76,63,210,25.1
2013-06-02,0.43,78.0,49.0,51.0,8.6,6.26,0.01,0.0,0.0,58.0,63,43,330,16.1
2013-06-03,0.03,52.0,39.0,50.0,8.54,4.92,0.0,0.0,0.0,54.0,68,43,100,14.1
2013-06-04,0.0,69.0,45.0,56.0,8.77,6.04,0.0,0.0,0.0,60.0,72,50,70,14.1
2013-06-05,0.01,69.0,50.0,60.0,9.2,8.28,0.01,0.0,0.0,62.0,73,54,20,15.0
2013-06-06,0.15,67.0,53.0,55.0,9.56,9.17,0.15,0.0,0.0,58.0,64,52,30,17.0
2013-06-07,0.13,60.0,49.0,55.0,9.77,9.84,0.0,0.0,0.0,58.0,68,52,60,16.1
2013-06-08,0.0,66.0,43.0,57.0,9.93,5.37,0.0,0.0,0.0,62.0,74,49,90,13.0
2013-06-09,0.0,73.0,57.0,64.0,10.21,8.95,0.01,0.0,0.0,67.0,80,55,180,18.1
2013-06-10,0.25,80.0,59.0,63.0,10.71,4.25,0.26,0.0,0.0,71.0,76,60,310,16.1
2013-06-11,0.0,76.0,57.0,70.0,11.22,4.47,0.0,0.0,0.0,70.0,83,60,230,15.0
2013-06-12,0.0,84.0,62.0,66.0,11.29,8.05,0.75,0.0,0.0,75.0,86,63,330,28.0
2013-06-13,0.65,77.0,58.0,60.0,11.19,12.3,0.0,0.0,0.0,67.0,73,58,40,21.0
2013-06-14,0.0,69.0,54.0,57.0,11.21,7.83,0.0,0.0,0.0,64.0,78,56,40,17.0
2013-06-15,0.01,72.0,51.0,61.0,11.6,7.61,0.17,0.0,0.0,67.0,80,58,250,31.1
2013-06-16,0.17,77.0,59.0,74.0,12.15,9.17,0.0,0.0,0.0,76.0,86,69,260,16.1
2013-06-17,0.0,84.0,57.0,71.0,12.32,8.05,0.03,0.0,0.0,77.0,88,59,20,19.9
2013-06-18,0.07,89.0,53.0,56.0,12.39,11.63,0.0,0.0,0.0,63.0,71,56,20,19.9
2013-06-19,0.0,67.0,50.0,60.0,12.64,6.93,0.0,0.0,0.0,63.0,75,53,60,14.1
2013-06-20,0.0,74.0,52.0,65.0,12.97,5.82,0.0,0.0,0.0,71.0,86,56,90,15.0
2013-06-21,0.0,85.0,64.0,76.0,13.24,9.62,0.79,0.0,0.0,75.0,82,68,170,32.0
2013-06-22,0.6,83.0,66.0,68.0,13.63,8.5,0.04,0.0,0.0,73.0,80,67,210,15.0
2013-06-23,0.02,82.0,67.0,74.0,14.26,11.41,0.84,0.0,0.0,76.0,87,66,200,32.0
2013-06-24,0.05,90.0,70.0,74.0,14.75,10.07,0.18,0.0,0.0,76.0,89,67,240,38.0
2013-06-25,0.41,87.0,65.0,69.0,15.31,6.93,0.03,0.0,0.0,73.0,85,67,340,25.1
2013-06-26,2.48,85.0,65.0,67.0,15.93,7.38,1.48,0.0,0.0,73.0,80,66,160,18.1
2013-06-27,0.12,79.0,61.0,71.0,16.45,7.16,0.92,0.0,0.0,76.0,90,64,310,32.0
2013-06-28,0.0,90.0,66.0,71.0,16.66,10.96,0.0,0.0,0.0,75.0,83,67,300,25.9
2013-06-29,0.31,83.0,61.0,62.0,16.63,12.3,0.0,0.0,0.0,68.0,72,64,20,23.0
2013-06-30,0.05,70.0,60.0,63.0,16.38,13.87,0.0,0.0,0.0,68.0,77,62,20,29.1
2013-07-01,0.0,71.0,58.0,64.0,16.29,12.3,0.0,0.0,0.0,68.0,75,59,40,23.0
2013-07-02,0.0,71.0,58.0,63.0,16.52,11.18,0.0,0.0,0.0,65.0,68,60,40,17.0
2013-07-03,0.0,68.0,59.0,62.0,16.94,5.37,0.02,0.0,0.0,64.0,72,59,280,12.1
2013-07-04,0.05,72.0,55.0,66.0,17.18,5.14,0.0,0.0,0.0,69.0,83,56,190,15.0
2013-07-05,0.0,83.0,61.0,72.0,17.46,4.92,0.0,0.0,0.0,74.0,86,60,210,14.1
2013-07-06,0.07,84.0,63.0,70.0,17.83,4.47,0.0,0.0,0.0,75.0,83,65,170,12.1
2013-07-07,0.0,83.0,63.0,76.0,18.42,6.71,0.0,0.0,0.0,77.0,88,70,210,15.0
2013-07-08,0.01,91.0,74.0,75.0,19.06,8.5,0.5,0.0,0.0,78.0,86,70,210,21.9
2013-07-09,0.78,87.0,67.0,72.0,19.38,7.38,0.0,0.0,0.0,80.0,85,73,250,23.9
2013-07-10,0.13,86.0,71.0,78.0,19.37,8.28,0.0,0.0,0.0,81.0,85,66,350,18.1
2013-07-11,0.0,85.0,59.0,67.0,19.53,7.38,0.0,0.0,0.0,73.0,81,64,20,15.0
2013-07-12,0.0,79.0,52.0,64.0,20.09,4.92,0.0,0.0,0.0,72.0,83,58,100,14.1
2013-07-13,0.0,80.0,58.0,66.0,20.65,7.61,0.0,0.0,0.0,74.0,84,62,100,18.1
2013-07-14,0.0,81.0,66.0,75.0,21.48,7.61,0.0,0.0,0.0,78.0,88,72,110,15.0
2013-07-15,0.0,85.0,69.0,77.0,22.29,5.14,0.09,0.0,0.0,80.0,89,71,100,17.0
2013-07-16,0.0,88.0,73.0,82.0,22.82,6.71,0.0,0.0,0.0,81.0,92,73,240,14.1
2013-07-17,0.0,93.0,74.0,81.0,23.01,6.93,0.0,0.0,0.0,85.0,94,76,270,15.0
2013-07-18,0.0,94.0,75.0,82.0,23.04,8.05,0.0,0.0,0.0,85.0,95,77,250,23.9
2013-07-19,0.0,96.0,78.0,82.0,22.72,14.09,0.58,0.0,0.0,86.0,96,71,330,38.9
2013-07-20,0.17,96.0,66.0,73.0,22.27,7.61,0.06,0.0,0.0,80.0,89,71,40,16.1
2013-07-21,0.04,86.0,64.0,74.0,21.9,6.71,0.01,0.0,0.0,76.0,88,68,10,21.0
2013-07-22,0.98,85.0,67.0,73.0,21.58,7.38,0.0,0.0,0.0,76.0,87,71,280,29.1
2013-07-23,0.07,86.0,65.0,72.0,21.11,10.96,0.03,0.0,0.0,75.0,78,63,280,29.1
2013-07-24,0.0,77.0,58.0,63.0,20.62,8.05,0.0,0.0,0.0,66.0,72,60,60,15.0
2013-07-25,0.0,73.0,53.0,63.0,20.36,5.14,0.0,0.0,0.0,68.0,81,57,200,12.1
2013-07-26,0.01,78.0,62.0,67.0,20.19,8.5,0.39,0.0,0.0,69.0,70,62,190,17.0
2013-07-27,0.4,71.0,58.0,58.0,19.91,10.51,0.0,0.0,0.0,62.0,65,55,320,19.9
2013-07-28,0.0,65.0,54.0,58.0,19.59,9.17,0.0,0.0,0.0,60.0,69,54,310,18.1
2013-07-29,0.0,70.0,55.0,62.0,19.23,6.93,0.0,0.0,0.0,65.0,76,57,90,13.0
2013-07-30,0.0,78.0,55.0,64.0,19.12,4.7,0.04,0.0,0.0,66.0,74,57,180,13.0
2013-07-31,0.06,77.0,63.0,66.0,19.19,4.47,0.5,0.0,0.0,68.0,75,62,360,19.9
2013-08-01,0.09,75.0,59.0,65.0,19.26,7.83,0.0,0.0,0.0,70.0,81,61,310,16.1
2013-08-02,0.23,81.0,59.0,67.0,19.35,8.28,0.63,0.0,0.0,72.0,84,62,350,18.1
2013-08-03,0.0,85.0,60.0,67.0,19.4,6.71,0.0,0.0,0.0,74.0,81,64,350,11.0
2013-08-04,0.0,79.0,56.0,68.0,19.44,7.83,0.0,0.0,0.0,69.0,75,60,80,15.0
2013-08-05,0.0,74.0,55.0,65.0,19.48,7.61,0.07,0.0,0.0,66.0,75,58,200,18.1
2013-08-06,0.2,78.0,64.0,70.0,19.61,8.05,0.04,0.0,0.0,72.0,83,67,200,16.1
2013-08-07,0.01,82.0,69.0,76.0,19.72,9.84,0.0,0.0,0.0,79.0,89,67,40,19.9
2013-08-08,0.0,87.0,63.0,68.0,19.77,9.4,0.0,0.0,0.0,72.0,78,65,70,17.0
2013-08-09,0.0,76.0,56.0,65.0,19.82,5.37,0.0,0.0,0.0,72.0,82,59,250,15.0
2013-08-10,0.0,81.0,63.0,67.0,19.91,6.49,0.0,0.0,0.0,74.0,81,64,70,13.0
2013-08-11,0.0,80.0,57.0,65.0,19.98,2.91,0.01,0.0,0.0,71.0,81,60,280,13.0
2013-08-12,0.01,79.0,64.0,71.0,19.91,7.61,0.27,0.0,0.0,74.0,82,67,230,18.1
2013-08-13,0.09,84.0,58.0,60.0,19.74,9.62,0.0,0.0,0.0,67.0,70,58,40,19.9
2013-08-14,0.0,71.0,55.0,60.0,19.57,7.16,0.0,0.0,0.0,64.0,72,56,40,13.0
2013-08-15,0.0,72.0,54.0,64.0,19.6,4.92,0.0,0.0,0.0,64.0,75,55,260,13.0
2013-08-16,0.0,77.0,54.0,62.0,19.81,5.14,0.0,0.0,0.0,69.0,82,55,30,15.0
2013-08-17,0.0,80.0,50.0,62.0,20.06,6.49,0.0,0.0,0.0,71.0,81,57,90,15.0
2013-08-18,0.0,80.0,57.0,63.0,20.27,4.92,0.0,0.0,0.0,72.0,81,59,90,14.1
2013-08-19,0.0,80.0,57.0,67.0,20.42,5.37,0.0,0.0,0.0,72.0,85,57,260,14.1
2013-08-20,0.0,86.0,61.0,73.0,20.55,8.05,0.0,0.0,0.0,77.0,88,66,200,15.0
2013-08-21,0.0,88.0,67.0,74.0,20.69,8.95,0.01,0.0,0.0,79.0,90,68,210,17.0
2013-08-22,0.0,91.0,69.0,74.0,20.71,6.93,0.23,0.0,0.0,75.0,78,68,270,19.9
2013-08-23,0.5,76.0,61.0,64.0,20.73,6.71,0.0,0.0,0.0,73.0,82,62,70,15.0
2013-08-24,0.0,81.0,57.0,63.0,20.88,6.04,0.0,0.0,0.0,73.0,86,60,160,12.1
2013-08-25,0.0,84.0,63.0,73.0,21.0,9.62,0.0,0.0,0.0,77.0,89,65,210,18.1
2013-08-26,0.0,91.0,70.0,70.0,21.21,9.4,0.0,0.0,0.0,80.0,92,70,250,19.9
2013-08-27,0.0,90.0,70.0,79.0,21.52,12.08,0.0,0.0,0.0,84.0,96,77,220,21.9
2013-08-28,0.0,95.0,70.0,73.0,21.81,9.4,0.0,0.0,0.0,81.0,83,71,260,17.0
2013-08-29,0.0,78.0,65.0,69.0,22.02,4.7,0.0,0.0,0.0,77.0,89,66,100,13.0
2013-08-30,0.0,84.0,66.0,72.0,21.86,8.28,0.36,0.0,0.0,80.0,96,67,320,35.1
2013-08-31,0.33,96.0,69.0,73.0,21.59,7.16,0.07,0.0,0.0,73.0,78,71,90,13.0
2013-09-01,0.01,79.0,64.0,68.0,21.43,5.14,0.14,0.0,0.0,74.0,85,65,320,25.9
2013-09-02,0.05,83.0,62.0,66.0,21.15,9.17,0.0,0.0,0.0,72.0,79,60,40,15.0
2013-09-03,0.0,77.0,54.0,59.0,20.84,5.82,0.0,0.0,0.0,66.0,77,57,260,13.0
2013-09-04,0.0,75.0,54.0,60.0,20.63,6.93,0.0,0.0,0.0,69.0,84,59,270,14.1
2013-09-05,0.0,83.0,60.0,68.0,20.54,9.17,0.0,0.0,0.0,71.0,74,59,40,18.1
2013-09-06,0.0,73.0,54.0,59.0,20.45,6.04,0.0,0.0,0.0,69.0,86,57,240,14.1
2013-09-07,0.0,84.0,58.0,72.0,20.42,6.93,0.01,0.0,0.0,76.0,88,65,260,19.9
2013-09-08,0.0,87.0,67.0,72.0,20.35,11.86,0.0,0.0,0.0,75.0,77,71,40,18.1
2013-09-09,0.0,75.0,67.0,72.0,20.54,10.07,0.0,0.0,0.0,78.0,94,68,230,16.1
2013-09-10,0.0,94.0,71.0,79.0,20.82,12.53,0.0,0.0,0.0,87.0,95,77,250,23.9
2013-09-11,0.0,95.0,73.0,74.0,20.67,7.61,0.0,0.0,0.0,83.0,91,75,310,17.0
2013-09-12,0.01,89.0,62.0,70.0,20.26,9.4,0.0,0.0,0.0,75.0,82,62,10,25.1
2013-09-13,0.1,81.0,50.0,52.0,19.74,11.41,0.0,0.0,0.0,62.0,67,52,40,19.9
2013-09-14,0.0,66.0,46.0,49.0,19.36,5.82,0.0,0.0,0.0,59.0,72,47,220,13.0
2013-09-15,0.09,71.0,49.0,56.0,19.12,5.37,0.65,0.0,0.0,59.0,62,56,40,14.1
2013-09-16,0.81,59.0,50.0,52.0,18.76,10.74,0.0,0.0,0.0,59.0,64,51,40,18.1
2013-09-17,0.0,65.0,47.0,57.0,18.56,7.61,0.0,0.0,0.0,59.0,71,49,150,14.1
2013-09-18,0.0,70.0,55.0,64.0,18.55,8.95,0.55,0.0,0.0,68.0,81,60,210,21.9
2013-09-19,0.24,81.0,64.0,70.0,18.49,10.51,0.84,0.0,0.0,73.0,84,69,160,23.0
