STATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094846,5/18/00,0.74,0,0,69,46
USW00094846,5/19/00,0.02,0,0,48,44
USW00094846,5/20/00,0,0,0,63,47
USW00094846,5/21/00,0,0,0,69,44
USW00094846,5/22/00,0.02,0,0,78,55
USW00094846,5/23/00,0,0,0,81,57
USW00094846,5/24/00,0,0,0,80,56
USW00094846,5/25/00,0,0,0,76,51
USW00094846,5/26/00,0.04,0,0,71,51
USW00094846,5/27/00,0.45,0,0,66,53
USW00094846,5/28/00,0.21,0,0,60,50
USW00094846,5/29/00,0,0,0,67,44
USW00094846,5/30/00,0.03,0,0,80,49
USW00094846,5/31/00,0.3,0,0,76,57
USW00094846,6/1/00,0.36,0,,86,59
USW00094846,6/2/00,0.01,0,,70,50
USW00094846,6/3/00,0,0,,64,45
USW00094846,6/4/00,0.03,0,,61,51
USW00094846,6/5/00,0.36,0,,63,45
USW00094846,6/6/00,0,0,,74,45
USW00094846,6/7/00,0,0,,78,49
USW00094846,6/8/00,0,0,,89,66
USW00094846,6/9/00,0,0,,87,67
USW00094846,6/10/00,0,0,,88,72
USW00094846,6/11/00,0.35,0,,83,56
USW00094846,6/12/00,0.48,0,,60,53
USW00094846,6/13/00,0.08,0,,82,56
USW00094846,6/14/00,1.11,0,,78,66
USW00094846,6/15/00,0.01,0,,78,61
USW00094846,6/16/00,0.04,0,,73,61
USW00094846,6/17/00,0,0,,64,56
USW00094846,6/18/00,0,0,,74,55
USW00094846,6/19/00,0,0,,80,52
USW00094846,6/20/00,0.39,0,,81,66
USW00094846,6/21/00,0.01,0,,79,68
USW00094846,6/22/00,0,0,,82,61
USW00094846,6/23/00,0.11,0,,85,57
USW00094846,6/24/00,0.94,0,,77,64
USW00094846,6/25/00,0,0,,86,64
USW00094846,6/26/00,0.01,0,,79,65
USW00094846,6/27/00,0,0,,77,59
USW00094846,6/28/00,0.03,0,,69,55
USW00094846,6/29/00,0,0,,76,55
USW00094846,6/30/00,0,0,,80,52
USW00094846,7/1/00,0,0,0,81,61
USW00094846,7/2/00,1.46,0,0,84,64
USW00094846,7/3/00,0.12,0,0,72,64
USW00094846,7/4/00,0,0,0,79,61
USW00094846,7/5/00,0,0,0,84,67
USW00094846,7/6/00,0,0,0,82,65
USW00094846,7/7/00,0,0,0,76,64
USW00094846,7/8/00,0,0,0,84,61
USW00094846,7/9/00,0,0,0,89,72
USW00094846,7/10/00,1.04,0,0,82,64
USW00094846,7/11/00,0,0,0,75,62
USW00094846,7/12/00,0,0,0,80,64
USW00094846,7/13/00,0,0,0,88,62
USW00094846,7/14/00,0,0,0,88,66
USW00094846,7/15/00,0,0,0,80,66
USW00094846,7/16/00,0,0,0,84,62
USW00094846,7/17/00,0,0,0,88,65
USW00094846,7/18/00,0.01,0,0,71,61
USW00094846,7/19/00,0,0,0,69,56
USW00094846,7/20/00,0,0,0,75,59
USW00094846,7/21/00,0,0,0,75,58
USW00094846,7/22/00,0,0,0,72,53
USW00094846,7/23/00,0,0,0,73,52
USW00094846,7/24/00,0,0,0,79,53
USW00094846,7/25/00,0,0,0,81,57
USW00094846,7/26/00,0,0,0,84,61
USW00094846,7/27/00,0,0,0,88,65
USW00094846,7/28/00,0.02,0,0,84,64
USW00094846,7/29/00,0,0,0,79,67
USW00094846,7/30/00,0.28,0,0,74,68
USW00094846,7/31/00,0.65,0,0,74,66
USW00094846,8/1/00,0.05,0,0,83,62
USW00094846,8/2/00,0.15,0,0,87,65
USW00094846,8/3/00,0,0,0,72,54
USW00094846,8/4/00,0,0,0,80,54
USW00094846,8/5/00,0.16,0,0,75,58
USW00094846,8/6/00,1.11,0,0,88,68
USW00094846,8/7/00,0,0,0,85,66
USW00094846,8/8/00,0,0,0,84,70
USW00094846,8/9/00,0,0,0,88,69
USW00094846,8/10/00,0,0,0,86,61
USW00094846,8/11/00,0,0,0,80,62
USW00094846,8/12/00,0,0,0,83,59
USW00094846,8/13/00,0,0,0,81,66
USW00094846,8/14/00,0,0,0,86,65
USW00094846,8/15/00,0,0,0,92,71
USW00094846,8/16/00,0,0,0,77,62
USW00094846,8/17/00,0.74,0,0,75,60
USW00094846,8/18/00,0,0,0,75,58
USW00094846,8/19/00,0,0,0,71,57
USW00094846,8/20/00,0,0,0,73,57
USW00094846,8/21/00,0,0,0,79,55
USW00094846,8/22/00,0.01,0,0,84,67
USW00094846,8/23/00,0,0,0,84,67
USW00094846,8/24/00,0,0,0,82,60
USW00094846,8/25/00,0,0,0,84,56
USW00094846,8/26/00,0.04,0,0,81,65
USW00094846,8/27/00,0,0,0,77,66
USW00094846,8/28/00,0,0,0,85,64
USW00094846,8/29/00,0,0,0,83,70
USW00094846,8/30/00,0,0,0,83,71
USW00094846,8/31/00,0,0,0,92,68
USW00094846,9/1/00,0,0,0,93,67
USW00094846,9/2/00,0,0,0,91,67
USW00094846,9/3/00,0,0,0,85,69
USW00094846,9/4/00,0,0,0,70,61
USW00094846,9/5/00,0,0,0,67,58
USW00094846,9/6/00,0,0,0,75,47
USW00094846,9/7/00,0,0,0,88,59
USW00094846,9/8/00,0.02,0,0,82,67
USW00094846,9/9/00,0,0,0,85,67
USW00094846,9/10/00,0.01,0,0,84,72
USW00094846,9/11/00,2.37,0,0,87,63
USW00094846,9/12/00,0.07,0,0,72,53
USW00094846,9/13/00,0,0,0,79,47
USW00094846,9/14/00,0.25,0,0,73,56
USW00094846,9/15/00,0,0,0,62,49
USW00094846,9/16/00,0,0,0,67,44
USW00094846,9/17/00,0,0,0,80,55
USW00094846,9/18/00,0,0,0,86,51
USW00094846,9/19/00,0,0,0,87,62
USW00094846,9/20/00,0.27,0,0,65,50
USW00094846,9/21/00,0,0,0,63,45
USW00094846,9/22/00,0.42,0,0,67,49
USW00094846,9/23/00,0.05,0,0,70,55
USW00094846,9/24/00,0.13,0,0,56,49
USW00094846,9/25/00,0,0,0,55,43
USW00094846,9/26/00,0,0,0,69,42
USW00094846,9/27/00,0,0,0,68,49
USW00094846,9/28/00,0,0,0,62,47
USW00094846,9/29/00,0,0,0,74,47
USW00094846,9/30/00,0,0,0,77,53
USW00094846,10/1/00,0,0,0,83,61
USW00094846,10/2/00,0,0,0,81,56
USW00094846,10/3/00,0.65,0,0,73,44
USW00094846,10/4/00,0.2,0,0,61,52
USW00094846,10/5/00,0.13,0,0,58,45
USW00094846,10/6/00,0,0,0,48,34
USW00094846,10/7/00,0,0,0,49,30
USW00094846,10/8/00,0,0,0,46,31
USW00094846,10/9/00,0,0,0,57,30
USW00094846,10/10/00,0,0,0,62,36
USW00094846,10/11/00,0,0,0,66,40
USW00094846,10/12/00,0,0,0,73,43
USW00094846,10/13/00,0,0,0,78,54
USW00094846,10/14/00,0,0,0,74,60
USW00094846,10/15/00,0.08,0,0,64,45
USW00094846,10/16/00,0,0,0,59,42
USW00094846,10/17/00,0,0,0,63,40
USW00094846,10/18/00,0,0,0,70,38
USW00094846,10/19/00,0,0,0,76,47
USW00094846,10/20/00,0,0,0,77,55
USW00094846,10/21/00,0,0,0,67,49
USW00094846,10/22/00,0,0,0,69,48
USW00094846,10/23/00,0.03,0,0,71,58
