"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","WDF2","WDF5","WDMV","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-04-29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","41.6276","-87.1843","189.0","2007-05-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
