DATE,WDIR,WSPD,ATMP
2015-01-01,238.33333333333331,9.890476190476187,-5.928571428571429
2015-01-02,216.08695652173915,6.230434782608696,-2.2043478260869565
2015-01-03,181.91666666666663,5.654166666666666,0.3958333333333334
2015-01-04,313.75,8.779166666666667,-1.5458333333333334
2015-01-05,262.1666666666667,9.537499999999998,-16.145833333333332
2015-01-06,272.9583333333333,7.837499999999999,-13.654166666666667
2015-01-07,291.17391304347825,11.495652173913042,-15.956521739130432
2015-01-08,232.69565217391303,11.391304347826088,-18.3
2015-01-09,266.375,11.762499999999998,-13.125000000000002
2015-01-10,234.08333333333331,9.195833333333333,-13.666666666666664
2015-01-11,209.45833333333331,8.6,-2.833333333333334
2015-01-12,302.7826086956522,11.243478260869567,-4.126086956521739
2015-01-13,107.78260869565216,9.921739130434784,-7.726086956521739
2015-01-14,215.79166666666663,5.441666666666667,-9.3
2015-01-15,229.79166666666663,8.716666666666667,-4.575
2015-01-16,216.047619047619,5.571428571428571,-0.980952380952381
2015-01-17,189.08333333333331,12.179166666666667,2.958333333333333
2015-01-18,264.4166666666667,8.062500000000002,3.5875000000000004
2015-01-19,193.43478260869568,4.260869565217392,1.0173913043478262
2015-01-20,185.5217391304348,4.782608695652174,1.0130434782608695
2015-01-21,259.91304347826093,9.243478260869566,-4.8270566288050275e-18
2015-01-22,300.0833333333333,5.766666666666667,-0.55
2015-01-23,233.04166666666663,7.916666666666665,-0.5666666666666665
2015-01-24,258.125,8.174999999999997,1.679166666666667
2015-01-25,55.41666666666666,11.879166666666668,-0.11249999999999998
2015-01-26,105.17391304347828,7.9391304347826095,-3.804347826086958
2015-01-27,93.21739130434784,7.5739130434782584,-2.3739130434782605
2015-01-28,139.52173913043478,7.517391304347826,-1.6260869565217388
2015-01-29,250.0,9.491666666666664,1.9125
2015-01-30,271.0,10.441666666666665,-2.9375
2015-01-31,232.7826086956522,5.460869565217391,-1.152173913043478
2015-02-01,63.904761904761905,28.280952380952385,-1.5571428571428574
2015-02-02,200.70833333333331,32.42499999999999,-8.241666666666665
2015-02-03,229.79166666666663,6.629166666666667,-8.629166666666668
2015-02-04,255.91304347826087,6.586956521739131,-5.1826086956521715
2015-02-05,275.2083333333333,7.916666666666668,-11.216666666666665
2015-02-06,214.375,8.604166666666668,-6.449999999999998
2015-02-07,209.33333333333331,8.166666666666668,1.475
2015-02-08,275.6666666666667,10.083333333333334,3.083333333333334
2015-02-09,125.70833333333331,16.187499999999996,-2.3875
2015-02-10,127.95833333333331,8.3,-3.0041666666666664
2015-02-11,241.7826086956522,8.891304347826088,-0.10434782608695664
2015-02-12,298.7391304347826,13.069565217391302,-8.482608695652173
2015-02-13,246.4782608695652,7.052173913043476,-10.104347826086958
2015-02-14,296.75,13.379166666666665,-7.3083333333333345
2015-02-15,237.5,8.883333333333336,-14.612500000000004
2015-02-16,126.34782608695652,6.782608695652174,-11.652173913043477
2015-02-17,271.1818181818182,6.8090909090909095,-8.163636363636364
2015-02-18,302.77777777777777,12.455555555555556,-14.688888888888886
2015-02-19,297.9166666666667,9.354166666666666,-18.575
2015-02-20,223.54166666666663,8.170833333333333,-14.095833333333333
2015-02-21,153.66666666666666,7.0791666666666675,-5.7625
2015-02-22,270.4583333333333,8.054166666666665,-5.775
2015-02-23,282.7083333333333,7.870833333333333,-14.491666666666667
2015-02-24,223.95833333333331,10.666666666666666,-10.15
2015-02-25,211.79166666666663,7.808333333333334,-5.187500000000001
2015-02-26,110.04166666666669,15.1625,-7.908333333333332
2015-02-27,277.4782608695652,6.200000000000001,-12.078260869565218
2015-02-28,199.04166666666663,7.5166666666666675,-11.2125
2015-03-01,232.5,5.095833333333333,-5.879166666666667
2015-03-02,211.70833333333331,7.674999999999998,-5.4208333333333325
2015-03-03,193.63636363636363,10.53181818181818,-1.3409090909090908
2015-03-04,290.375,8.825000000000003,-3.7208333333333337
2015-03-05,293.375,7.479166666666668,-10.108333333333334
2015-03-06,224.16666666666663,9.812500000000002,-9.320833333333333
2015-03-07,241.58333333333331,8.825000000000003,1.458333333333333
2015-03-08,248.5,5.688888888888888,3.9166666666666665
2015-03-09,214.45833333333331,6.458333333333332,4.3583333333333325
2015-03-10,211.58333333333331,5.958333333333332,6.554166666666666
2015-03-11,295.61904761904765,7.6761904761904765,5.052380952380951
2015-03-12,131.29166666666666,4.058333333333334,3.079166666666666
2015-03-13,147.375,5.208333333333333,5.666666666666668
2015-03-14,227.25,7.483333333333335,8.25
2015-03-15,184.45833333333331,5.829166666666667,7.8791666666666655
2015-03-16,237.29166666666663,8.058333333333335,16.2
2015-03-17,142.125,17.000000000000004,3.4916666666666667
2015-03-18,189.5,4.445833333333334,2.95
2015-03-19,99.34782608695652,5.2434782608695665,3.378260869565218
2015-03-20,201.16666666666663,6.320833333333333,6.2125
2015-03-21,166.20833333333334,12.0375,4.5875
2015-03-22,47.83333333333334,11.15,-0.0041666666666666605
2015-03-23,69.65,10.325,-1.165
2015-03-24,95.75,9.895833333333334,-0.5833333333333333
2015-03-25,200.83333333333331,9.925,4.05
2015-03-26,236.79166666666663,6.916666666666668,3.091666666666665
2015-03-27,137.65217391304347,17.017391304347825,-2.5043478260869567
2015-03-28,50.54166666666666,9.7125,-3.158333333333333
2015-03-29,187.41666666666663,11.825,1.725
2015-03-30,276.1304347826087,7.81304347826087,8.639130434782606
2015-03-31,230.0434782608696,8.969565217391304,6.321739130434782
2015-04-01,172.13636363636363,7.336363636363638,97.22727272727272
2015-04-02,205.7826086956522,11.008695652173913,14.934782608695654
