#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2015,1,7,5,0,283,14.0,-13.8
2015,1,7,6,0,294,12.0,-14.6
2015,1,7,7,0,289,12.0,-15.2
2015,1,7,8,0,278,7.7,-15.6
2015,1,7,9,0,322,15.0,-16.1
2015,1,7,10,0,278,8.0,-16.7
2015,1,7,11,0,309,15.9,-17.2
2015,1,7,12,0,310,12.6,-17.7
2015,1,7,13,0,314,9.1,-17.9
2015,1,7,14,0,321,17.0,-18.0
2015,1,7,15,0,318,9.1,-17.8
2015,1,7,17,0,300,13.4,-17.4
2015,1,7,18,0,292,7.9,-16.9
2015,1,7,19,0,317,14.2,-17.2
2015,1,7,20,0,284,9.2,-17.1
2015,1,7,21,0,301,11.3,-17.6
2015,1,7,22,0,258,7.4,-17.9
2015,1,7,23,0,240,5.9,-18.4
2015,1,8,0,0,252,8.3,-18.5
2015,1,8,1,0,272,13.9,-18.8
2015,1,8,2,0,289,14.3,-19.0
2015,1,8,3,0,276,11.1,-19.4
2015,1,8,4,0,278,14.4,-19.9
2015,1,8,5,0,261,4.6,-20.3
2015,1,8,6,0,236,2.9,-20.6
2015,1,8,7,0,205,2.3,-21.1
2015,1,8,8,0,243,3.4,-21.4
2015,1,8,9,0,242,9.3,-21.3
2015,1,8,10,0,255,15.2,-21.7
2015,1,8,11,0,234,8.9,-21.5
2015,1,8,12,0,215,9.3,-21.0
2015,1,8,13,0,223,15.3,-20.1
2015,1,8,14,0,211,12.7,-19.5
2015,1,8,15,0,232,19.5,-18.7
2015,1,8,16,0,202,14.1,-17.8
2015,1,8,18,0,183,26.9,-15.9
2015,1,8,19,0,200,13.9,-14.9
2015,1,8,20,0,197,11.7,-13.7
2015,1,8,21,0,188,12.6,-12.6
2015,1,8,22,0,228,8.8,-12.1
2015,1,8,23,0,230,8.6,-11.1
2015,1,9,0,0,211,11.5,-10.2
2015,1,9,1,0,216,7.4,-9.4
2015,1,9,2,0,255,12.6,-8.7
2015,1,9,3,0,269,9.5,-7.6
2015,1,9,4,0,312,11.3,-10.0
2015,1,9,5,0,302,13.9,-10.7
2015,1,9,6,0,288,13.4,-12.3
2015,1,9,7,0,267,6.2,-12.5
2015,1,9,8,0,310,14.7,-12.3
2015,1,9,9,0,260,10.6,-12.4
2015,1,9,10,0,259,15.6,-12.7
2015,1,9,11,0,262,8.9,-14.1
2015,1,9,12,0,243,9.5,-14.8
2015,1,9,13,0,224,8.7,-15.3
2015,1,9,14,0,245,12.1,-15.2
2015,1,9,15,0,270,11.9,-15.3
2015,1,9,16,0,269,15.1,-15.1
2015,1,9,17,0,280,12.9,-15.3
2015,1,9,18,0,277,12.9,-15.0
2015,1,9,19,0,307,15.3,-15.2
2015,1,9,20,0,287,12.5,-15.1
2015,1,9,21,0,269,14.4,-15.1
2015,1,9,22,0,244,5.9,-15.3
2015,1,9,23,0,267,15.5,-15.4
2015,1,10,0,0,258,11.0,-15.7
2015,1,10,1,0,268,8.5,-15.9
2015,1,10,2,0,254,13.4,-16.0
2015,1,10,3,0,259,9.6,-16.2
2015,1,10,4,0,277,12.0,-16.3
2015,1,10,5,0,285,13.8,-16.4
2015,1,10,6,0,280,7.5,-16.7
2015,1,10,7,0,283,12.9,-17.1
2015,1,10,8,0,263,7.9,-17.0
2015,1,10,9,0,216,5.6,-17.1
2015,1,10,10,0,226,7.9,-17.3
2015,1,10,11,0,241,6.8,-17.2
2015,1,10,12,0,204,2.5,-17.0
2015,1,10,13,0,228,8.6,-16.7
2015,1,10,14,0,241,7.8,-15.0
2015,1,10,15,0,214,9.6,-13.1
2015,1,10,16,0,227,10.7,-10.5
2015,1,10,17,0,221,12.0,-9.8
2015,1,10,18,0,225,10.5,-8.5
2015,1,10,19,0,217,6.5,-7.9
2015,1,10,20,0,203,10.8,-7.9
2015,1,10,21,0,181,10.1,-8.1
2015,1,10,22,0,159,6.1,-7.7
2015,1,10,23,0,188,8.6,-6.9
2015,1,11,0,0,221,16.5,-6.1
2015,1,11,1,0,204,9.0,-5.6
2015,1,11,2,0,193,11.8,-5.1
2015,1,11,3,0,172,11.9,-4.7
2015,1,11,4,0,201,13.0,-4.3
2015,1,11,5,0,196,7.6,-4.2
2015,1,11,6,0,207,12.2,-3.9
2015,1,11,7,0,211,7.0,-3.8
2015,1,11,8,0,203,7.4,-4.0
2015,1,11,9,0,201,12.1,-4.1
2015,1,11,10,0,209,8.7,-3.8
2015,1,11,11,0,212,13.2,-3.9
2015,1,11,12,0,211,8.5,-4.1
2015,1,11,13,0,199,9.1,-3.7
2015,1,11,14,0,209,8.3,-2.8
2015,1,11,15,0,207,7.1,-1.7
2015,1,11,16,0,246,8.0,-1.0
2015,1,11,17,0,227,6.9,0.1
2015,1,11,18,0,207,3.1,0.6
2015,1,11,19,0,206,11.1,0.6
2015,1,11,20,0,234,2.4,0.6
2015,1,11,21,0,186,3.6,0.4
2015,1,11,22,0,243,4.3,-1.7
2015,1,11,23,0,222,3.6,-1.8
2015,1,12,0,0,209,5.2,-1.5
2015,1,12,1,0,208,7.5,-1.5
