#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2014,7,12,11,0,198,4.9,20.6
2014,7,12,12,0,224,11.2,20.8
2014,7,12,13,0,216,9.8,22.5
2014,7,12,14,0,198,5.5,21.3
2014,7,12,15,0,236,7,21.7
2014,7,12,16,0,215,14.8,21.9
2014,7,12,17,0,82,3.1,23.8
2014,7,12,18,0,251,6.5,25.2
2014,7,12,19,0,226,8.9,25.2
2014,7,12,20,0,223,9.9,25.9
2014,7,12,21,0,209,3.6,26
2014,7,12,22,0,233,3.7,26.1
2014,7,12,23,0,209,2.1,26.1
2014,7,13,0,0,141,3.5,25.2
2014,7,13,1,0,173,4,21.8
2014,7,13,2,0,211,5.5,24.1
2014,7,13,3,0,204,5.3,25.8
2014,7,13,4,0,239,4.7,22.5
2014,7,13,5,0,219,2.6,21.5
2014,7,13,6,0,278,3.1,21.4
2014,7,13,7,0,268,4.4,21.4
2014,7,13,8,0,212,3.8,21.4
2014,7,13,9,0,269,6.1,21.1
2014,7,13,10,0,264,7.3,20.6
2014,7,13,11,0,260,6.3,20.5
2014,7,13,12,0,293,7.4,20.6
2014,7,13,13,0,270,6.8,20.7
2014,7,13,14,0,261,1.5,22
2014,7,13,15,0,201,2.7,24.2
2014,7,13,16,0,302,3,25.2
2014,7,13,17,0,180,1.8,22.1
2014,7,13,18,0,85,2.9,22
2014,7,13,19,0,131,6.7,22.9
2014,7,13,20,0,139,2.8,24.4
2014,7,13,21,0,288,6.4,29
2014,7,13,22,0,303,6.5,28.9
2014,7,13,23,0,247,7.8,28.2
2014,7,14,0,0,272,5.2,27.2
2014,7,14,1,0,299,5.4,26.7
2014,7,14,2,0,274,4.7,25.5
2014,7,14,3,0,264,7.8,24.8
2014,7,14,4,0,263,4.1,23.6
2014,7,14,5,0,285,4.9,22
2014,7,14,6,0,296,3.8,21
2014,7,14,7,0,280,1.7,20.2
2014,7,14,8,0,280,1.6,20.1
2014,7,14,9,0,239,3.1,19.8
2014,7,14,10,0,251,1.9,19.7
2014,7,14,11,0,192,2,20.9
2014,7,14,12,0,212,1.9,18.9
2014,7,14,13,0,359,3.2,18.7
2014,7,14,14,0,350,0.7,21.5
2014,7,14,15,0,65,3.6,17.9
2014,7,14,16,0,31,4.6,17.7
2014,7,14,17,0,5,2.9,18.9
2014,7,14,18,0,85,3.1,20.3
2014,7,14,20,0,137,7.6,20.5
2014,7,14,21,0,150,9.6,20.4
2014,7,14,22,0,133,5,20.2
2014,7,14,23,0,304,5.4,22.2
2014,7,15,0,0,316,11.4,22.2
2014,7,15,1,0,286,4.9,21.4
2014,7,15,2,0,347,10.2,19.7
2014,7,15,3,0,290,1.7,18.6
2014,7,15,4,0,294,5.8,17.9
2014,7,15,5,0,311,5.1,16.8
2014,7,15,7,0,297,4.1,15.5
2014,7,15,8,0,279,5.3,14.8
2014,7,15,9,0,283,6.9,14
2014,7,15,10,0,308,6.8,13.5
2014,7,15,11,0,294,4.6,14
2014,7,15,12,0,276,5.6,14.8
2014,7,15,13,0,337,5.8,15.5
