#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2012,5,23,22,0,999,99,18.1
2012,5,24,14,0,999,99,24.6
2012,5,24,15,0,999,99,24.2
2012,5,24,16,0,999,99,24.8
2012,5,24,17,0,999,99,27.3
2012,5,24,18,0,999,99,27.2
2012,5,24,19,0,999,99,29.2
2012,5,24,20,0,999,99,27.5
2012,5,24,21,0,999,99,26.1
2012,5,24,22,0,999,99,27.8
2012,5,24,23,0,999,99,29.5
2012,5,25,0,0,999,99,28.9
2012,5,25,1,0,999,99,28.4
2012,5,25,2,0,999,99,27.9
2012,5,25,3,0,999,99,27.2
2012,5,25,4,0,999,99,26.9
2012,5,25,5,0,999,99,26.5
2012,5,25,6,0,999,99,26.3
2012,5,25,7,0,999,99,25.5
2012,5,25,8,0,999,99,23.5
2012,5,25,9,0,999,99,21.2
2012,5,25,10,0,999,99,19.7
2012,5,25,11,0,999,99,19.1
2012,5,25,12,0,999,99,19
2012,5,25,13,0,999,99,18.6
2012,5,25,14,0,999,99,17.4
2012,5,25,15,0,999,99,17.6
2012,5,25,16,0,999,99,17.9
2012,5,25,17,0,999,99,17.9
2012,5,25,18,0,999,99,17.5
2012,5,25,19,0,999,99,17.9
2012,5,25,20,0,999,99,18.5
2012,5,25,21,0,999,99,18.1
2012,5,25,22,0,999,99,17.4
2012,5,25,23,0,165,3.5,17
2012,5,26,0,0,120,2.8,17.1
2012,5,26,1,0,56,2.5,17.5
2012,5,26,2,0,46,3.1,16.5
2012,5,26,3,0,175,0.8,16.5
2012,5,26,4,0,63,2.1,16.3
2012,5,26,5,0,107,3.1,16.5
2012,5,26,6,0,102,1.8,16.5
2012,5,26,7,0,126,3.4,16.4
2012,5,26,8,0,59,3.9,16.4
2012,5,26,9,0,88,6.1,16.2
2012,5,26,10,0,118,3.5,15.9
2012,5,26,11,0,9,9.9,15.5
2012,5,26,12,0,91,19.6,16.5
2012,5,26,13,0,125,6.3,16.4
2012,5,26,14,0,114,2.4,17
2012,5,26,15,0,144,3.5,17
2012,5,26,16,0,97,6.4,16.4
2012,5,26,17,0,151,4.4,18.1
2012,5,26,18,0,74,2.4,17.6
2012,5,26,19,0,66,3,17.6
2012,5,26,20,0,91,2.7,18.9
2012,5,26,21,0,40,7.7,16.1
2012,5,26,22,0,14,12.7,16.7
2012,5,26,23,0,27,10.7,16.1
2012,5,27,0,0,62,7.7,16.4
2012,5,27,1,0,56,2.9,16.1
2012,5,27,2,0,78,4.1,17.1
2012,5,27,3,0,171,2.3,18.2
2012,5,27,4,0,94,2.2,18.3
2012,5,27,5,0,93,4.3,17.7
2012,5,27,6,0,169,7.2,19.1
2012,5,27,7,0,184,4.4,20.6
2012,5,27,8,0,228,4.8,20.6
