#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2011,8,10,20,0,357,2.3,21.9
2011,8,10,21,0,20,6.3,21.5
2011,8,10,22,0,31,1,21.9
2011,8,10,23,0,68,3.3,21.6
2011,8,11,0,0,153,2.7,20.8
2011,8,11,1,0,120,2.5,20.9
2011,8,11,2,0,147,4.3,21
2011,8,11,3,0,169,5.6,21
2011,8,11,4,0,189,5.5,20.7
2011,8,11,5,0,176,6.5,20.1
2011,8,11,6,0,189,6.9,19.6
2011,8,11,7,0,194,4.1,19.2
2011,8,11,8,0,193,6.3,18.4
2011,8,11,9,0,191,2.8,17.9
2011,8,11,10,0,235,3.7,17.5
2011,8,11,11,0,232,5.2,18.4
2011,8,11,12,0,227,5.2,20.3
2011,8,11,13,0,325,3.4,22.5
2011,8,11,14,0,8,3.3,22.8
2011,8,11,15,0,351,4.8,22.9
2011,8,11,17,0,89,2.1,23.5
2011,8,11,18,0,32,2.7,23.9
2011,8,11,19,0,86,2.6,24
2011,8,11,20,0,71,1.9,24
2011,8,11,21,0,353,1.3,24.1
2011,8,11,22,0,87,4,24.3
2011,8,11,23,0,71,1.8,24
2011,8,12,0,0,107,3.8,23.2
2011,8,12,1,0,106,2.5,23
2011,8,12,2,0,145,1.9,23
2011,8,12,3,0,214,1.4,23
2011,8,12,4,0,172,2.9,22.3
2011,8,12,5,0,170,4.9,21.7
2011,8,12,6,0,185,3.8,21.3
2011,8,12,7,0,189,3.8,20.9
2011,8,12,8,0,173,5.9,20.6
2011,8,12,9,0,177,3.8,20.3
2011,8,12,10,0,163,8.3,19.9
2011,8,12,11,0,166,6.3,20.4
2011,8,12,12,0,171 1,2.6,21.4
2011,8,12,13,0,189,8.2,23
2011,8,12,14,0,194,7.7,23.7
2011,8,12,15,0,159,6.6,25
2011,8,12,16,0,209,1.6,25.2
2011,8,12,17,0,166,6.3,25.7
2011,8,12,18,0,149,5.8,26.1
2011,8,12,19,0,158 1,0.7,26.9
2011,8,12,20,0,143,8.5,26.8
2011,8,12,21,0,180,9.9,26.6
