#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2016,1,1,0,0,246,5.8,-3.8
2016,1,1,1,0,214,7.7,-4.1
2016,1,1,2,0,204,4.4,-4.3
2016,1,1,3,0,219,8,-4.1
2016,1,1,4,0,268,6.8,-3.7
2016,1,1,5,0,197,8,-3.7
2016,1,1,6,0,290,13.1,-4.6
2016,1,1,7,0,247,5.7,-5.5
2016,1,1,8,0,271,8.5,-6.3
2016,1,1,9,0,265,12,-7
2016,1,1,10,0,270,12.6,-7.1
2016,1,1,11,0,286,13.2,-6.4
2016,1,1,12,0,253,7.5,-5.7
2016,1,1,13,0,252,6.2,-5.1
2016,1,1,14,0,276,18.2,-4.4
2016,1,1,15,0,250,7.6,-4
2016,1,1,16,0,282,11.7,-3.6
2016,1,1,17,0,270,5.9,-3
2016,1,1,18,0,263,4.2,-2.6
2016,1,1,19,0,224,9.9,-2.5
2016,1,1,20,0,269,13.6,-2
2016,1,1,21,0,248,8.7,-1.8
2016,1,1,22,0,230,11.1,-1.7
2016,1,1,23,0,201,10.1,-1.2
2016,1,2,0,0,230,15.7,-0.5
2016,1,2,1,0,219,9.8,-0.6
2016,1,2,2,0,224,7.9,-0.7
2016,1,2,3,0,221,3.1,-0.7
2016,1,2,4,0,252,7.9,-1
2016,1,2,5,0,269,4.6,-1.6
2016,1,2,6,0,282,5.3,-2.3
2016,1,2,7,0,262,8.9,-2.9
2016,1,2,8,0,278,5.1,-3.1
2016,1,2,9,0,304,4.9,-3.2
2016,1,2,10,0,243,5.4,-3.4
2016,1,2,11,0,258,3.8,-3.7
2016,1,2,12,0,250,5.1,-4.4
2016,1,2,13,0,240,2.3,-4.6
2016,1,2,14,0,215,9.9,-4.4
2016,1,2,15,0,213,3.2,-2.7
2016,1,2,16,0,264,4.9,-1.6
2016,1,2,17,0,261,6.1,-0.5
2016,1,2,18,0,245,9,0.1
2016,1,2,19,0,227,9.8,1
2016,1,2,20,0,205,14.5,0.8
2016,1,2,21,0,235,7.8,0.5
2016,1,2,22,0,237,7.3,0.1
2016,1,2,23,0,232,20.4,0.1
2016,1,3,0,0,219,7.8,0.1
2016,1,3,1,0,259,10.5,-0.2
2016,1,3,2,0,262,10.6,-0.4
2016,1,3,3,0,274,13.1,-1.4
2016,1,3,4,0,267,15.6,-2.1
