#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2013,3,6,14,0,5,14.4,-1.2
2013,3,6,15,0,347,5.6,-1.2
2013,3,6,16,0,328,9.4,-0.9
2013,3,6,17,0,334,10.5,0.2
2013,3,6,18,0,22,9.6,0.6
2013,3,6,19,0,12,12.7,0.6
2013,3,6,20,0,24,11,0.7
2013,3,6,21,0,28,8,0.6
2013,3,6,22,0,19,7.5,0.8
2013,3,6,23,0,353,6,1
2013,3,7,0,0,343,9.2,0.8
2013,3,7,2,0,331,9.5,0.3
2013,3,7,3,0,339,6.6,0.1
2013,3,7,4,0,359,5.3,0
2013,3,7,5,0,356,5.1,0
2013,3,7,6,0,347,7.7,0
2013,3,7,7,0,7,4.6,0
2013,3,7,8,0,345,3.9,-0.2
2013,3,7,9,0,314,5.8,-0.3
2013,3,7,10,0,327,5.1,-0.4
2013,3,7,11,0,354,2.4,-0.5
2013,3,7,12,0,310,6,-0.8
2013,3,7,13,0,3,3.5,-0.9
2013,3,7,14,0,324,3.4,-0.5
2013,3,7,15,0,52,3.4,-0.1
2013,3,7,16,0,42,8.9,-0.4
2013,3,7,17,0,48,7.9,-0.1
2013,3,7,18,0,50,7.9,0
2013,3,7,19,0,57,6.5,0
2013,3,7,20,0,54,7.1,0.2
2013,3,7,21,0,66,4.8,0.4
2013,3,7,22,0,63,5.7,0.5
2013,3,7,23,0,89,5.2,0.4
2013,3,8,0,0,91,5.4,0.2
2013,3,8,2,0,91,1.9,0
2013,3,8,3,0,6,1.1,-0.5
2013,3,8,6,0,164,4.6,-0.5
2013,3,8,7,0,202,2.8,-0.2
2013,3,8,9,0,186,3.1,-0.5
2013,3,8,10,0,144,2.6,-0.9
2013,3,16,16,0,19,24.2,-0.9
2013,3,16,18,0,20,16.6,-1.5
2013,3,16,20,0,6,12.3,-1.1
2013,3,16,22,0,28,7.5,-1
2013,3,17,0,0,40,4.4,-1
2013,3,17,2,0,317,5,-0.5
2013,3,17,4,0,315,9.8,-0.6
